"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Alberto Fernández por el Frente de Todos","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P04","Tengo trabajo estable",0.422,0.418,0.402,0.597,0.462,0.367
"P04","Realizo changas o trabajos de vez en cuando",0.164,0.217,0.285,0.239,0.162,0.205
"P04","No tengo trabajo",0.129,0.189,0.212,0.019,0.172,0.163
"P04","Soy jubilado o pensionado",0.285,0.176,0.101,0.145,0.204,0.265
"P05","1",0.341,0.236,0.413,0.154,0.278,0.164
"P05","2",0.066,0.038,0.074,0.037,0.074,0.07
"P05","3",0.05,0.023,0.13,0.031,0.052,0.07
"P05","4",0.092,0.051,0.056,0.067,0.061,0.105
"P05","5",0.224,0.115,0.155,0.099,0.165,0.164
"P05","6",0.027,0.037,0.018,0.19,0.053,0.066
"P05","7",0.063,0.162,0.025,0.068,0.108,0.08
"P05","8",0.042,0.052,0.026,0.159,0.066,0.058
"P05","9",0.095,0.286,0.103,0.195,0.143,0.223
"P06","1",0.173,0.452,0.153,0.274,0.303,0.353
"P06","2",0.049,0.074,0.012,0.025,0.14,0.055
"P06","3",0.026,0.062,0.023,0.09,0.035,0.055
"P06","4",0.038,0.066,0.031,0.169,0.036,0.056
"P06","5",0.187,0.116,0.11,0.259,0.146,0.234
"P06","6",0.061,0.028,0.051,0.082,0.048,0.061
"P06","7",0.091,0.033,0.048,0.025,0.057,0.023
"P06","8",0.082,0.026,0.116,0.005,0.04,0.035
"P06","9",0.293,0.143,0.456,0.071,0.195,0.128
"P07","1",0.217,0.583,0.202,0.587,0.444,0.453
"P07","2",0.057,0.029,0.016,0.005,0.08,0.068
"P07","3",0.036,0.046,0.038,0.115,0.014,0.014
"P07","4",0.014,0.005,0.048,0,0.008,0.018
"P07","5",0.116,0.048,0.14,0.086,0.127,0.124
"P07","6",0.037,0.023,0.044,0,0.021,0.064
"P07","7",0.062,0.025,0.045,0,0.034,0.018
"P07","8",0.039,0.014,0.069,0,0.02,0.011
"P07","9",0.422,0.227,0.398,0.207,0.252,0.23
"P09","Del Frente de Todos y el peronismo",0.144,0.798,0.04,0.215,0.437,0.503
"P09","De Juntos por el cambio",0.749,0.103,0.161,0.127,0.309,0.188
"P09","De los Liberales libertarios",0.042,0.015,0.692,0.005,0.043,0.046
"P09","De la Izquierda",0.011,0.002,0.008,0.454,0.016,0.008
"P09","No sabe",0.054,0.082,0.099,0.199,0.195,0.255
"P10","A Alberto Fernández",0.168,0.219,0.235,0.074,0.074,0.086
"P10","A Sergio Massa",0.326,0.214,0,0.145,0.169,0.239
"P10","A algún candidato del peronismo",0.159,0.093,0.583,0.051,0.11,0.157
"P10","A algún candidato del kirchnerismo",0.347,0.474,0.182,0.73,0.647,0.518
"P11","A Alberto Fernández",0.125,0.178,0.128,0,0.025,0.065
"P11","A Sergio Massa",0.115,0.136,0,0,0.133,0.183
"P11","A algún candidato del peronismo",0.19,0.073,0.544,0.051,0.114,0.081
"P11","A Cristina Fernández de Kirchner",0.57,0.613,0.328,0.949,0.728,0.671
"P12","A Horacio Rodriguez Larreta",0.29,0.203,0.08,0.538,0.012,0.07
"P12","A Mauricio Macri",0.36,0.204,0.424,0.292,0.445,0.319
"P12","A Patricia Bullrich",0.305,0.207,0.458,0.17,0.377,0.581
"P12","A Facundo Manes",0.039,0.194,0.025,0,0.141,0.03
"P12","A Gerardo Morales",0.006,0.192,0.013,0,0.025,0
"P13","Seguro lo votaria",0.152,0.026,0.397,0,0.088,0.112
"P13","Quizás lo votaría",0.389,0.338,0.564,0.111,0.404,0.378
"P13","Nunca lo votaría",0.459,0.636,0.039,0.889,0.508,0.51
"P14","Lo votaría",0.487,0.058,0.215,0.038,0.194,0.2
"P14","Puede que lo vote",0.252,0.048,0.284,0.059,0.133,0.11
"P14","Nunca lo votaría",0.211,0.86,0.455,0.877,0.605,0.588
"P14","No sabe",0.05,0.034,0.046,0.026,0.068,0.102
"P15","Lo votaría",0.084,0.29,0.017,0.131,0.111,0.157
"P15","Puede que lo vote",0.103,0.385,0.082,0.364,0.347,0.305
"P15","Nunca lo votaría",0.797,0.242,0.884,0.495,0.522,0.424
"P15","No sabe",0.016,0.083,0.017,0.01,0.02,0.114
"P16","Lo votaría",0.02,0.402,0.015,0,0.062,0.088
"P16","Puede que lo vote",0.098,0.433,0.007,0.231,0.177,0.204
"P16","Nunca lo votaría",0.856,0.111,0.971,0.704,0.628,0.527
"P16","No sabe",0.026,0.054,0.007,0.065,0.133,0.181
"P17","La votaría",0.086,0.74,0.018,0.21,0.404,0.461
"P17","Puede que la vote",0.054,0.133,0.059,0.28,0.067,0.065
"P17","Nunca la votaría",0.858,0.104,0.916,0.479,0.489,0.419
"P17","No sabe",0.002,0.023,0.007,0.031,0.04,0.055
"P18","Lo votaría",0.41,0.078,0.019,0.073,0.068,0.04
"P18","Puede que lo vote",0.385,0.079,0.286,0.215,0.201,0.253
