"var","categoria","Del Frente de Todos y el peronismo","De Juntos por el cambio","De los Liberales libertarios","De la Izquierda","No sabe"
"P04","Tengo trabajo estable",0.473,0.367,0.458,0.448,0.304
"P04","Realizo changas o trabajos de vez en cuando",0.194,0.215,0.259,0.207,0.283
"P04","No tengo trabajo",0.155,0.144,0.197,0.278,0.265
"P04","Soy jubilado o pensionado",0.178,0.274,0.086,0.067,0.148
"P05","1",0.236,0.385,0.37,0.107,0.213
"P05","2",0.072,0.09,0.08,0.051,0.065
"P05","3",0.025,0.056,0.094,0.073,0.081
"P05","4",0.046,0.072,0.094,0.073,0.08
"P05","5",0.113,0.186,0.162,0.035,0.223
"P05","6",0.051,0.031,0.031,0.04,0.081
"P05","7",0.126,0.048,0.034,0.149,0.059
"P05","8",0.08,0.025,0.02,0.122,0.015
"P05","9",0.251,0.107,0.115,0.35,0.183
"P06","1",0.418,0.208,0.123,0.19,0.306
"P06","2",0.096,0.064,0.012,0.192,0.039
"P06","3",0.053,0.02,0.024,0.142,0.033
"P06","4",0.061,0.031,0.041,0.089,0.072
"P06","5",0.128,0.162,0.113,0.152,0.25
"P06","6",0.03,0.049,0.076,0.065,0.043
"P06","7",0.033,0.084,0.048,0.013,0.044
"P06","8",0.017,0.083,0.103,0.007,0.032
"P06","9",0.164,0.299,0.46,0.15,0.181
"P07","1",0.544,0.262,0.178,0.482,0.334
"P07","2",0.075,0.04,0.017,0.079,0.04
"P07","3",0.032,0.025,0.041,0.013,0.045
"P07","4",0.007,0.025,0.035,0.027,0.005
"P07","5",0.071,0.123,0.146,0,0.101
"P07","6",0.02,0.032,0.052,0.028,0.013
"P07","7",0.014,0.053,0.072,0,0.026
"P07","8",0.016,0.033,0.051,0,0.04
"P07","9",0.221,0.407,0.408,0.371,0.396
"P14","Lo votaría",0.055,0.528,0.139,0.086,0.058
"P14","Puede que lo vote",0.036,0.278,0.286,0.052,0.176
"P14","Nunca lo votaría",0.841,0.177,0.505,0.782,0.589
"P14","No sabe",0.068,0.017,0.07,0.08,0.177
"P15","Lo votaría",0.27,0.086,0.044,0.09,0.059
"P15","Puede que lo vote",0.41,0.086,0.063,0.252,0.307
"P15","Nunca lo votaría",0.248,0.813,0.883,0.596,0.472
"P15","No sabe",0.072,0.015,0.01,0.062,0.162
"P16","Lo votaría",0.277,0.051,0.021,0.009,0.101
"P16","Puede que lo vote",0.412,0.045,0.003,0.12,0.105
"P16","Nunca lo votaría",0.2,0.889,0.965,0.805,0.601
"P16","No sabe",0.111,0.015,0.011,0.066,0.193
