"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","Fernandez","Macri","Lavagna","opciones"
"Muy buena",0.056,0.046,0.066,0.07,0.051,0.049,0.064,0.045,0.061,0.06,0.065,0.039,0.086,0.039,0.081,6
"Buena",0.13,0.118,0.143,0.065,0.15,0.15,0.123,0.152,0.123,0.118,0.123,0.144,0.253,0.036,0.065,6
"Ni buena ni mala",0.199,0.182,0.216,0.174,0.231,0.167,0.197,0.244,0.168,0.195,0.2,0.197,0.38,0.068,0.13,6
"Mala",0.118,0.116,0.12,0.133,0.1,0.111,0.152,0.094,0.144,0.105,0.125,0.103,0.136,0.092,0.245,6
"Muy mala",0.486,0.534,0.437,0.558,0.448,0.519,0.453,0.442,0.5,0.515,0.479,0.5,0.122,0.761,0.479,6
"No sabe",0.011,0.004,0.018,0,0.02,0.004,0.011,0.023,0.004,0.007,0.008,0.017,0.023,0.004,0,6
"Positiva",0.186,0.164,0.209,0.135,0.201,0.199,0.187,0.197,0.184,0.178,0.188,0.183,0.339,0.075,0.146,4
"Neutra",0.199,0.182,0.216,0.174,0.231,0.167,0.197,0.244,0.168,0.195,0.2,0.197,0.38,0.068,0.13,4
"Negativa",0.604,0.65,0.557,0.691,0.548,0.63,0.605,0.536,0.644,0.62,0.604,0.603,0.258,0.853,0.724,4
"No sabe",0.011,0.004,0.018,0,0.02,0.004,0.011,0.023,0.004,0.007,0.008,0.017,0.023,0.004,0,4
