"var","categoria","Sergio Massa presidente por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P04","Tengo trabajo estable",0.463,0.373,0.428,0.573,0.468,0.265
"P04","Realizo changas o trabajos de vez en cuando",0.186,0.208,0.261,0.26,0.174,0.223
"P04","No tengo trabajo",0.16,0.129,0.237,0.072,0.135,0.228
"P04","Soy jubilado o pensionado",0.191,0.29,0.074,0.095,0.223,0.284
"P05","1",0.165,0.341,0.443,0.14,0.322,0.264
"P05","2",0.06,0.079,0.084,0.042,0.035,0.029
"P05","3",0.027,0.057,0.115,0.05,0.057,0.057
"P05","4",0.062,0.067,0.085,0.006,0.107,0.056
"P05","5",0.124,0.238,0.13,0.119,0.161,0.179
"P05","6",0.067,0.048,0.018,0.043,0.04,0.017
"P05","7",0.145,0.041,0.024,0.194,0.098,0.09
"P05","8",0.082,0.038,0.019,0.11,0.051,0.062
"P05","9",0.268,0.091,0.082,0.296,0.129,0.246
"P06","1",0.382,0.179,0.137,0.232,0.391,0.383
"P06","2",0.095,0.042,0.025,0.053,0.067,0.075
"P06","3",0.07,0.017,0.029,0.127,0.038,0.016
"P06","4",0.041,0.057,0.038,0.051,0.063,0.038
"P06","5",0.154,0.184,0.09,0.344,0.138,0.224
"P06","6",0.035,0.045,0.054,0.005,0.083,0.034
"P06","7",0.042,0.094,0.049,0.107,0.02,0.029
"P06","8",0.018,0.087,0.109,0.006,0.053,0.035
"P06","9",0.163,0.295,0.469,0.075,0.147,0.166
"P07","1",0.563,0.218,0.166,0.649,0.451,0.467
"P07","2",0.052,0.046,0.026,0.053,0.068,0.016
"P07","3",0.037,0.04,0.03,0.056,0.019,0.01
"P07","4",0.015,0.007,0.039,0.076,0.008,0.021
"P07","5",0.092,0.121,0.13,0.09,0.118,0.069
"P07","6",0.011,0.049,0.043,0.011,0.043,0.061
"P07","7",0.027,0.059,0.062,0.005,0.008,0.019
"P07","8",0.009,0.055,0.059,0,0.022,0.014
"P07","9",0.194,0.405,0.445,0.06,0.263,0.323
"P09","Del Frente de Todos y el peronismo",0.802,0.114,0.023,0.324,0.367,0.448
"P09","De Juntos por el cambio",0.098,0.757,0.174,0.121,0.341,0.242
"P09","De los Liberales libertarios",0.007,0.036,0.712,0.014,0.023,0.061
"P09","De la Izquierda",0.014,0.009,0.017,0.386,0.002,0.011
"P09","No sabe",0.079,0.084,0.074,0.155,0.267,0.238
"P10","A Alberto Fernández",0.16,0.262,0.491,0.121,0.124,0.138
"P10","A Sergio Massa",0.295,0.287,0,0.034,0.013,0.107
"P10","A algún candidato del peronismo",0.079,0.277,0.448,0.036,0.125,0.155
"P10","A algún candidato del kirchnerismo",0.466,0.174,0.061,0.809,0.738,0.6
"P11","A Alberto Fernández",0.092,0.368,0.286,0.049,0.068,0.159
"P11","A Sergio Massa",0.214,0.045,0,0,0,0.02
"P11","A algún candidato del peronismo",0.044,0.441,0.374,0.069,0.185,0.023
"P11","A Cristina Fernández de Kirchner",0.65,0.146,0.34,0.882,0.747,0.798
"P12","A Horacio Rodriguez Larreta",0.114,0.284,0.12,0.724,0.048,0.132
"P12","A Mauricio Macri",0.319,0.366,0.304,0.216,0.444,0.329
"P12","A Patricia Bullrich",0.284,0.296,0.54,0.06,0.376,0.433
"P12","A Facundo Manes",0.254,0.039,0.023,0,0.115,0.014
"P12","A Gerardo Morales",0.029,0.015,0.013,0,0.017,0.092
"P13","Seguro lo votaria",0.107,0.134,0.396,0,0.107,0.036
"P13","Quizás lo votaría",0.426,0.384,0.549,0,0.39,0.485
"P13","Nunca lo votaría",0.467,0.482,0.055,1,0.503,0.479
"P14","Lo votaría",0.064,0.524,0.204,0.024,0.213,0.191
"P14","Puede que lo vote",0.03,0.251,0.318,0.047,0.106,0.158
"P14","Nunca lo votaría",0.837,0.182,0.441,0.893,0.595,0.6
"P14","No sabe",0.069,0.043,0.037,0.036,0.086,0.051
"P15","Lo votaría",0.334,0.082,0.024,0.036,0.049,0.033
"P15","Puede que lo vote",0.442,0.118,0.071,0.293,0.239,0.334
"P15","Nunca lo votaría",0.173,0.776,0.9,0.649,0.623,0.536
"P15","No sabe",0.051,0.024,0.005,0.022,0.089,0.097
"P16","Lo votaría",0.26,0.029,0.033,0.036,0.114,0.149
