"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","Fernandez","Macri","Lavagna"
"Cristina Fernández de Kirchner por el Frente de Todos",0.314,0.27,0.358,0.292,0.359,0.323,0.222,0.316,0.33,0.29,0.309,0.326,0.711,0.056,0.053
"Alberto Fernández por el Frente de Todos",0.043,0.033,0.054,0.04,0.048,0.033,0.05,0.067,0.03,0.036,0.044,0.041,0.085,0.009,0
"Mauricio Macri por Juntos por el cambio",0.128,0.12,0.136,0.096,0.109,0.13,0.199,0.11,0.145,0.124,0.131,0.122,0.03,0.289,0.029
"Horacio Rodríguez Larreta por Juntos por el Cambio",0.095,0.075,0.114,0.067,0.108,0.088,0.102,0.117,0.071,0.105,0.095,0.095,0.035,0.15,0.295
"Patricia Bullrich por Juntos por el Cambio",0.169,0.188,0.151,0.123,0.121,0.215,0.258,0.196,0.156,0.158,0.182,0.144,0.04,0.305,0.186
"Facundo Manes por Juntos por el Cambio",0.037,0.045,0.029,0.026,0.038,0.054,0.022,0.027,0.042,0.042,0.035,0.04,0.016,0.044,0.163
"Javier Milei por los liberales libertarios",0.149,0.208,0.091,0.31,0.147,0.099,0.068,0.123,0.158,0.164,0.14,0.166,0.049,0.129,0.112
"Nicolás del Caño por la izquierda",0.017,0.015,0.018,0.02,0.022,0.01,0.012,0.01,0.011,0.032,0.018,0.015,0.004,0.002,0.006
"Aún no lo tengo decidido",0.048,0.046,0.049,0.026,0.048,0.048,0.067,0.034,0.057,0.049,0.046,0.051,0.03,0.016,0.156
