"var","categoria","Cristina Fernández de Kirchner por el Frente de Todos","Alberto Fernández por el Frente de Todos","Mauricio Macri por Juntos por el cambio","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bullrich por Juntos por el Cambio","Facundo Manes por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Aún no lo tengo decidido"
"P04","Tengo trabajo estable",0.454,0.326,0.38,0.41,0.382,0.434,0.415,0.776,0.323
"P04","Realizo changas o trabajos de vez en cuando",0.206,0.275,0.194,0.235,0.192,0.284,0.29,0.113,0.205
"P04","No tengo trabajo",0.181,0.251,0.137,0.142,0.135,0.132,0.216,0.027,0.193
"P04","Soy jubilado o pensionado",0.159,0.148,0.289,0.213,0.291,0.15,0.079,0.084,0.279
"P05","1",0.175,0.35,0.442,0.275,0.384,0.344,0.357,0.06,0.165
"P05","2",0.053,0.027,0.092,0.036,0.08,0.073,0.088,0.101,0.015
"P05","3",0.033,0.019,0.053,0.062,0.066,0.051,0.12,0.061,0.148
"P05","4",0.044,0.094,0.077,0.092,0.077,0.112,0.055,0.141,0.081
"P05","5",0.088,0.147,0.146,0.223,0.199,0.244,0.171,0.121,0.388
"P05","6",0.052,0.077,0.03,0.06,0.055,0.045,0.014,0.035,0.027
"P05","7",0.166,0.118,0.068,0.027,0.037,0.111,0.023,0.219,0.038
"P05","8",0.096,0.019,0.014,0.067,0.023,0,0.026,0.045,0.005
"P05","9",0.293,0.149,0.078,0.158,0.079,0.02,0.146,0.217,0.133
"P06","1",0.47,0.322,0.171,0.199,0.167,0.136,0.15,0.109,0.228
"P06","2",0.116,0.025,0.04,0.022,0.051,0.014,0.009,0.122,0.066
"P06","3",0.054,0.082,0.048,0.018,0.008,0.055,0.025,0.159,0.056
"P06","4",0.038,0.144,0.036,0.022,0.063,0.122,0.02,0.206,0.058
"P06","5",0.118,0.212,0.118,0.19,0.155,0.326,0.088,0.289,0.375
"P06","6",0.023,0.016,0.028,0.101,0.1,0.043,0.06,0,0.033
"P06","7",0.036,0.033,0.071,0.13,0.06,0.045,0.037,0,0.038
"P06","8",0.012,0.007,0.092,0.054,0.106,0.1,0.122,0,0.027
"P06","9",0.133,0.159,0.396,0.264,0.29,0.159,0.489,0.115,0.119
"P07","1",0.614,0.34,0.21,0.227,0.183,0.325,0.211,0.737,0.329
"P07","2",0.071,0.052,0.03,0.018,0.039,0.062,0.015,0.01,0.09
"P07","3",0.039,0.09,0.008,0.034,0.06,0.038,0.017,0.022,0.011
"P07","4",0.011,0.004,0.021,0.004,0.024,0.021,0.039,0.042,0.038
"P07","5",0.066,0.081,0.149,0.123,0.116,0.172,0.103,0,0.144
"P07","6",0.016,0,0.067,0.025,0.048,0.01,0.032,0,0.088
"P07","7",0.01,0.04,0.038,0.053,0.092,0.017,0.044,0,0.012
"P07","8",0.009,0.007,0.061,0.044,0.043,0.013,0.066,0,0.034
"P07","9",0.164,0.386,0.416,0.472,0.395,0.342,0.473,0.189,0.254
"P09","Del Frente de Todos y el peronismo",0.85,0.69,0.07,0.103,0.06,0.165,0.034,0.032,0.175
"P09","De Juntos por el cambio",0.045,0.01,0.806,0.678,0.664,0.405,0.024,0,0.126
"P09","De los Liberales libertarios",0.017,0.007,0.091,0.064,0.169,0.098,0.781,0.012,0.132
"P09","De la Izquierda",0.02,0.01,0,0.026,0.008,0,0.005,0.877,0.017
"P09","No sabe",0.068,0.283,0.033,0.129,0.099,0.332,0.156,0.079,0.55
"P10","A Alberto Fernández",0.139,0.456,0.424,0.421,0.128,0.05,0.277,0.723,0.038
"P10","A Sergio Massa",0.185,0.295,0.053,0.32,0.619,0.137,0,0,0.7
"P10","A algún candidato del peronismo",0.09,0.16,0.347,0.096,0.253,0.382,0.651,0,0.262
"P10","A algún candidato del kirchnerismo",0.586,0.089,0.176,0.163,0,0.431,0.072,0.277,0
"P11","A Alberto Fernández",0.093,0.433,0.229,0.421,0.231,0.05,0,0,0.116
"P11","A Sergio Massa",0.102,0.283,0.053,0.106,0.352,0.109,0.066,0,0.584
"P11","A algún candidato del peronismo",0.052,0.149,0.542,0.311,0.417,0.32,0.651,0,0.3
"P11","A Cristina Fernández de Kirchner",0.753,0.135,0.176,0.162,0,0.521,0.283,1,0
"P12","A Horacio Rodriguez Larreta",0.089,0,0.036,0.805,0.052,0.186,0.122,0,0.259
"P12","A Mauricio Macri",0.187,0,0.841,0.112,0.099,0.099,0.684,0,0.254
"P12","A Patricia Bullrich",0.055,0,0.112,0.031,0.833,0.041,0.099,0,0.347
"P12","A Facundo Manes",0.491,0,0.005,0.041,0.016,0.618,0.095,0,0
"P12","A Gerardo Morales",0.178,1,0.006,0.011,0,0.056,0,0,0.14
"P13","Seguro lo votaria",0.07,0,0.11,0.211,0.175,0.142,0.784,0,0.262
"P13","Quizás lo votaría",0.115,0,0.469,0.339,0.378,0.391,0.216,0,0.521
"P13","Nunca lo votaría",0.815,1,0.421,0.45,0.447,0.467,0,0,0.217
"P14","Lo votaría",0.018,0.047,0.857,0.182,0.457,0.157,0.09,0,0.076
"P14","Puede que lo vote",0.015,0.093,0.096,0.379,0.359,0.198,0.288,0.079,0.193
"P14","Nunca lo votaría",0.924,0.814,0.045,0.349,0.133,0.456,0.582,0.841,0.59
"P14","No sabe",0.043,0.046,0.002,0.09,0.051,0.189,0.04,0.08,0.141
"P15","Lo votaría",0.241,0.262,0.066,0.079,0.029,0.044,0.018,0,0.156
"P15","Puede que lo vote",0.46,0.355,0.037,0.134,0.094,0.241,0.096,0.228,0.298
"P15","Nunca lo votaría",0.236,0.29,0.877,0.732,0.865,0.529,0.878,0.737,0.481
"P15","No sabe",0.063,0.093,0.02,0.055,0.012,0.186,0.008,0.035,0.065
"P16","Lo votaría",0.265,0.49,0.023,0.045,0.011,0.023,0.012,0,0.056
"P16","Puede que lo vote",0.42,0.364,0.017,0.075,0.012,0.075,0.005,0.183,0.127
"P16","Nunca lo votaría",0.213,0.069,0.917,0.85,0.944,0.794,0.966,0.714,0.631
"P16","No sabe",0.102,0.077,0.043,0.03,0.033,0.108,0.017,0.103,0.186
"P17","La votaría",0.868,0.313,0.025,0.042,0.022,0.043,0.005,0.019,0.085
"P17","Puede que la vote",0.104,0.426,0.003,0.09,0,0.064,0.074,0.203,0.122
"P17","Nunca la votaría",0.023,0.191,0.972,0.862,0.951,0.795,0.91,0.747,0.695
