"var","categoria","Sergio Massa presidente por el Frente de Todos","Mauricio Macri por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P04","Tengo trabajo estable",0.514,0.375,0.395,0.601,0.44,0.267
"P04","Realizo changas o trabajos de vez en cuando",0.181,0.157,0.291,0.253,0.223,0.227
"P04","No tengo trabajo",0.141,0.137,0.238,0.026,0.184,0.254
"P04","Soy jubilado o pensionado",0.164,0.331,0.076,0.12,0.153,0.252
"P05","1",0.163,0.416,0.373,0.129,0.271,0.276
"P05","2",0.058,0.063,0.095,0.041,0.023,0.054
"P05","3",0.027,0.061,0.106,0.052,0.063,0.078
"P05","4",0.06,0.069,0.096,0.006,0.074,0.079
"P05","5",0.113,0.199,0.165,0.239,0.185,0.149
"P05","6",0.066,0.034,0.026,0.132,0.047,0.004
"P05","7",0.16,0.05,0.019,0.092,0.126,0.047
"P05","8",0.093,0.031,0.021,0.055,0.062,0.055
"P05","9",0.26,0.077,0.099,0.254,0.149,0.258
"P06","1",0.396,0.165,0.15,0.199,0.356,0.401
"P06","2",0.095,0.039,0.031,0.026,0.076,0.069
"P06","3",0.062,0.033,0.026,0.104,0.014,0.028
"P06","4",0.052,0.035,0.038,0.246,0.053,0.016
"P06","5",0.149,0.152,0.132,0.251,0.152,0.245
"P06","6",0.033,0.048,0.052,0,0.094,0.038
"P06","7",0.057,0.089,0.05,0.03,0.018,0.019
"P06","8",0.013,0.101,0.101,0,0.064,0.023
"P06","9",0.143,0.338,0.42,0.144,0.173,0.161
"P07","1",0.577,0.198,0.178,0.56,0.462,0.497
"P07","2",0.077,0.029,0.041,0.014,0.032,0.029
"P07","3",0.034,0.016,0.037,0.237,0.02,0.011
"P07","4",0.014,0.02,0.042,0,0.01,0.015
"P07","5",0.075,0.14,0.14,0.121,0.069,0.1
"P07","6",0.021,0.049,0.028,0,0.05,0.063
"P07","7",0.029,0.061,0.054,0,0.023,0.01
"P07","8",0.006,0.048,0.065,0,0.027,0.015
"P07","9",0.167,0.439,0.415,0.068,0.307,0.26
"P09","Del Frente de Todos y el peronismo",0.876,0.048,0.023,0.25,0.459,0.356
"P09","De Juntos por el cambio",0.048,0.83,0.131,0.197,0.273,0.229
"P09","De los Liberales libertarios",0.002,0.08,0.723,0,0.018,0.043
"P09","De la Izquierda",0.015,0.006,0.023,0.362,0.002,0.011
"P09","No sabe",0.059,0.036,0.1,0.191,0.248,0.361
"P10","A Alberto Fernández",0.147,0.427,0.332,0.157,0.145,0.159
"P10","A Sergio Massa",0.277,0.149,0.159,0.347,0.116,0.067
"P10","A algún candidato del peronismo",0.087,0.323,0.509,0.046,0.1,0.203
"P10","A algún candidato del kirchnerismo",0.489,0.101,0,0.45,0.639,0.571
"P11","A Alberto Fernández",0.089,0.391,0.332,0.062,0.126,0.169
