"var","categoria","1","2","3","4","5","6","7","8","9"
"P04","Tengo trabajo estable",0.483,0.481,0.374,0.607,0.419,0.341,0.454,0.442,0.308
"P04","Realizo changas o trabajos de vez en cuando",0.178,0.291,0.251,0.214,0.23,0.32,0.176,0.204,0.246
"P04","No tengo trabajo",0.182,0.08,0.211,0.097,0.185,0.156,0.181,0.179,0.211
"P04","Soy jubilado o pensionado",0.157,0.148,0.164,0.082,0.166,0.183,0.189,0.175,0.235
"P05","1",0.256,0.263,0.043,0.336,0.197,0.239,0.147,0.235,0.398
"P05","2",0.054,0.218,0.018,0.139,0.081,0.032,0.224,0.068,0.079
"P05","3",0.047,0.039,0.151,0.023,0.065,0.044,0.11,0.097,0.044
"P05","4",0.036,0.085,0.081,0.047,0.085,0.161,0.162,0.175,0.065
"P05","5",0.124,0.15,0.204,0.242,0.348,0.224,0.121,0.165,0.152
"P05","6",0.04,0.027,0.221,0.017,0.039,0.027,0.068,0.013,0.044
"P05","7",0.111,0.078,0.234,0.128,0.05,0.142,0.082,0.073,0.021
"P05","8",0.061,0.082,0.035,0,0.034,0.097,0.039,0.061,0.024
"P05","9",0.271,0.058,0.013,0.068,0.101,0.034,0.047,0.113,0.173
"P06","1",0.4,0.205,0.074,0.175,0.132,0.235,0.033,0.133,0.28
"P06","2",0.08,0.278,0.084,0,0.035,0.014,0.047,0.008,0.038
"P06","3",0.045,0.071,0.158,0,0.037,0.011,0.063,0,0.015
"P06","4",0.033,0.09,0.239,0.184,0.029,0.097,0.034,0.134,0.034
"P06","5",0.146,0.205,0.166,0.108,0.392,0.093,0.192,0.127,0.12
"P06","6",0.03,0.013,0.06,0.07,0.041,0.22,0.125,0.034,0.044
"P06","7",0.033,0.045,0.113,0.133,0.08,0.05,0.284,0.083,0.027
"P06","8",0.035,0.037,0.034,0.114,0.056,0.105,0.066,0.325,0.042
"P06","9",0.198,0.056,0.072,0.216,0.198,0.175,0.156,0.156,0.4
"P09","Del Frente de Todos y el peronismo",0.508,0.515,0.33,0.142,0.238,0.243,0.132,0.181,0.22
"P09","De Juntos por el cambio",0.222,0.249,0.237,0.444,0.373,0.355,0.447,0.334,0.367
"P09","De los Liberales libertarios",0.075,0.052,0.189,0.313,0.22,0.291,0.299,0.26,0.183
"P09","De la Izquierda",0.039,0.047,0.012,0.047,0,0.029,0,0,0.032
