"var","categoria","A Horacio Rodriguez Larreta","A Mauricio Macri","A Patricia Bullrich","A Facundo Manes","A Gerardo Morales"
"P04","Tengo trabajo estable",0.406,0.418,0.342,0.476,0.586
"P04","Realizo changas o trabajos de vez en cuando",0.315,0.189,0.251,0.146,0.119
"P04","No tengo trabajo",0.121,0.15,0.143,0.158,0.188
"P04","Soy jubilado o pensionado",0.158,0.243,0.264,0.22,0.107
"P05","1",0.343,0.47,0.346,0.279,0.614
"P05","2",0.069,0.107,0.127,0.03,0
"P05","3",0.032,0.047,0.082,0.078,0
"P05","4",0.079,0.059,0.078,0.022,0.056
"P05","5",0.235,0.162,0.165,0.201,0.148
"P05","6",0.024,0.037,0.037,0.02,0.033
"P05","7",0.026,0.047,0.033,0.114,0.107
"P05","8",0.034,0.015,0.029,0.034,0
"P05","9",0.158,0.056,0.103,0.222,0.042
"P06","1",0.211,0.229,0.131,0.214,0.596
"P06","2",0.033,0.035,0.104,0.176,0
"P06","3",0.021,0.02,0.018,0.03,0
"P06","4",0.043,0.03,0.027,0.034,0.028
"P06","5",0.205,0.115,0.152,0.178,0.182
"P06","6",0.037,0.028,0.065,0.051,0.06
"P06","7",0.114,0.081,0.088,0.078,0.076
"P06","8",0.058,0.087,0.108,0.059,0
"P06","9",0.278,0.375,0.307,0.18,0.058
"P07","1",0.275,0.248,0.231,0.354,0.527
"P07","2",0.028,0.029,0.065,0.032,0.1
"P07","3",0.003,0.015,0.039,0.121,0
"P07","4",0.036,0.023,0.016,0.023,0.016
"P07","5",0.15,0.12,0.12,0.138,0.105
"P07","6",0.019,0.042,0.035,0.01,0.033
"P07","7",0.028,0.054,0.074,0.034,0
"P07","8",0.025,0.044,0.04,0,0
"P07","9",0.436,0.425,0.38,0.288,0.219
"P13","Seguro lo votaria",0.296,0.16,0.196,0.256,0
"P13","Quizás lo votaría",0.275,0.448,0.372,0.224,0.195
"P13","Nunca lo votaría",0.429,0.392,0.432,0.52,0.805
"P14","Lo votaría",0.296,0.769,0.55,0.157,0.063
"P14","Puede que lo vote",0.427,0.127,0.35,0.281,0.23
"P14","Nunca lo votaría",0.246,0.096,0.087,0.562,0.657
"P14","No sabe",0.031,0.008,0.013,0,0.05
"P15","Lo votaría",0.153,0.085,0.033,0.167,0.075
"P15","Puede que lo vote",0.147,0.028,0.07,0.269,0.147
"P15","Nunca lo votaría",0.665,0.879,0.892,0.523,0.747
"P15","No sabe",0.035,0.008,0.005,0.041,0.031
"P16","Lo votaría",0.07,0.033,0.022,0.067,0.521
"P16","Puede que lo vote",0.099,0.014,0.018,0.14,0.056
"P16","Nunca lo votaría",0.811,0.937,0.948,0.793,0.392
"P16","No sabe",0.02,0.016,0.012,0,0.031
"P17","La votaría",0.076,0.046,0.026,0.301,0.164
"P17","Puede que la vote",0.071,0.023,0.013,0.011,0.038
"P17","Nunca la votaría",0.834,0.927,0.958,0.688,0.768
"P17","No sabe",0.019,0.004,0.003,0,0.03
"P18","Lo votaría",0.757,0.172,0.252,0.256,0.068
"P18","Puede que lo vote",0.14,0.479,0.456,0.308,0.26
"P18","Nunca lo votaría",0.103,0.289,0.261,0.368,0.672
"P18","No sabe",0,0.06,0.031,0.068,0
"P19","Lo votaría",0.183,0.047,0.084,0.528,0.086
"P19","Puede que lo vote",0.286,0.24,0.276,0.164,0.709
"P19","Nunca lo votaría",0.423,0.654,0.577,0.28,0.205
"P19","No sabe",0.108,0.059,0.063,0.028,0
"P20","La votaría",0.273,0.514,0.835,0.23,0.092
"P20","Puede que la vote",0.392,0.31,0.047,0.278,0.555
"P20","Nunca la votaría",0.311,0.161,0.101,0.462,0.226
"P20","No sabe",0.024,0.015,0.017,0.03,0.127
"P21","Lo votaría",0.066,0.106,0.195,0.167,0
"P21","Puede que lo vote",0.362,0.412,0.37,0.22,0.183
"P21","Nunca lo votaría",0.503,0.453,0.382,0.585,0.679
"P21","No sabe",0.069,0.029,0.053,0.028,0.138
"P22","La votaría",0.381,0.246,0.252,0.165,0.073
"P22","Puede que la vote",0.35,0.456,0.44,0.216,0.071
"P22","Nunca la votaría",0.248,0.249,0.252,0.567,0.831
"P22","No sabe",0.021,0.049,0.056,0.052,0.025
"P23","Lo votaría",0.127,0.039,0.026,0.122,0.157
"P23","Puede que lo vote",0.059,0.069,0.065,0.185,0.068
"P23","Nunca lo votaría",0.8,0.869,0.896,0.682,0.775
"P23","No sabe",0.014,0.023,0.013,0.011,0
"P24","Lo votaría",0.098,0.023,0.031,0.063,0.322
"P24","Puede que lo vote",0.277,0.203,0.382,0.29,0.121
"P24","Nunca lo votaría",0.534,0.713,0.528,0.546,0.557
"P24","No sabe",0.091,0.061,0.059,0.101,0
"P26","Cristina Fernández de Kirchner por el Frente de Todos",0.019,0.024,0.007,0.324,0.416
"P26","Alberto Fernández por el Frente de Todos",0,0,0,0,0.075
"P26","Mauricio Macri por Juntos por el cambio",0.053,0.761,0.106,0.024,0.102
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.77,0.064,0.019,0.123,0.111
"P26","Patricia Bullrich por Juntos por el Cambio",0.082,0.095,0.836,0.08,0
"P26","Facundo Manes por Juntos por el Cambio",0.042,0.013,0.006,0.43,0.139
"P26","Javier Milei por los liberales libertarios",0.008,0.027,0.004,0.019,0
"P26","Nicolás del Caño por la izquierda",0,0,0,0,0
"P26","Aún no lo tengo decidido",0.026,0.016,0.022,0,0.157
"P27","Horacio Rodríguez Larreta por Juntos por el Cambio",0.766,0.198,0.053,0.057,0.033
"P27","Patricia Bullrich por Juntos por el Cambio",0.146,0.685,0.906,0.052,0.108
"P27","Facundo Manes por Juntos por el Cambio",0.021,0.022,0.004,0.406,0.181
"P27","Alberto Fernández por el Frente de Todos",0.019,0,0.003,0.115,0.317
"P27","Sergio Massa por el Frente de Todos",0.018,0.012,0.002,0.218,0.175
"P27","Javier Milei por los liberales libertarios",0,0.044,0.011,0.086,0.074
"P27","Nicolás del Caño por la izquierda",0.003,0.015,0,0,0
"P27","Otros candidatos",0.003,0.009,0,0.021,0.112
"P27","Aún no lo tengo decidido",0.024,0.015,0.021,0.045,0
"P28","Cristina Fernández de Kirchner por el Frente de Todos",0.055,0.012,0.005,0.332,0.434
"P28","Mauricio Macri por Juntos por el Cambio",0.556,0.919,0.748,0.255,0.189
"P28","Javier Milei por los liberales libertarios",0.039,0.033,0.115,0.13,0.07
"P28","Nicolás del Caño por la izquierda",0.055,0,0,0,0
"P28","Otro candidato",0.18,0.024,0.074,0.272,0.275
"P28","Aún no lo tengo decidido",0.115,0.012,0.058,0.011,0.032
"P30","Horacio Rodríguez Larreta por Juntos por el Cambio",0.821,0.589,0.53,0.384,0.162
"P30","Alberto Fernández por el Frente de Todos",0.065,0.038,0.04,0.216,0.608
"P30","Javier Milei por los liberales libertarios",0.044,0.135,0.155,0.049,0.07
"P30","Nicolás del Caño por la izquierda",0.04,0.012,0.008,0,0
"P30","Otro candidato",0.007,0.164,0.148,0.315,0.16
"P30","Aún no lo tengo decidido",0.023,0.062,0.119,0.036,0
