"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"Ariel Sujarchuk","Positiva",0.495,0.459,0.531,0.548,0.514,0.481,0.341,0.494,0.491,0.509,0.85,0.23,0.377
"Ariel Sujarchuk","Neutra",0.255,0.228,0.282,0.293,0.209,0.247,0.358,0.24,0.28,0.233,0.097,0.38,0.516
"Ariel Sujarchuk","Negativa",0.227,0.293,0.162,0.127,0.265,0.246,0.267,0.241,0.197,0.258,0.053,0.38,0.107
"Ariel Sujarchuk","No sabe",0.023,0.02,0.025,0.032,0.012,0.026,0.034,0.025,0.032,0,0,0.01,0
"Carlos “Beto” Ramil","Positiva",0.191,0.145,0.241,0.071,0.259,0.16,0.253,0.264,0.146,0.127,0.301,0.109,0.132
"Carlos “Beto” Ramil","Neutra",0.345,0.361,0.329,0.386,0.324,0.42,0.202,0.302,0.366,0.393,0.371,0.389,0.082
"Carlos “Beto” Ramil","Negativa",0.193,0.258,0.122,0.246,0.204,0.132,0.152,0.119,0.235,0.265,0.113,0.241,0.105
"Carlos “Beto” Ramil","No sabe",0.271,0.236,0.308,0.297,0.213,0.288,0.393,0.315,0.253,0.215,0.215,0.261,0.681
"Patricia Bullrich","Positiva",0.358,0.398,0.315,0.277,0.387,0.353,0.46,0.391,0.323,0.358,0.095,0.589,0.819
"Patricia Bullrich","Neutra",0.22,0.267,0.167,0.228,0.188,0.275,0.213,0.268,0.224,0.112,0.237,0.24,0.106
"Patricia Bullrich","Negativa",0.375,0.285,0.475,0.415,0.397,0.347,0.253,0.294,0.39,0.515,0.607,0.156,0.075
"Patricia Bullrich","No sabe",0.047,0.05,0.043,0.08,0.028,0.025,0.074,0.047,0.063,0.015,0.061,0.015,0
"Sergio Massa","Positiva",0.377,0.37,0.385,0.354,0.448,0.262,0.383,0.497,0.3,0.274,0.616,0.254,0.138
"Sergio Massa","Neutra",0.16,0.22,0.094,0.225,0.133,0.117,0.181,0.12,0.182,0.2,0.24,0.136,0.017
"Sergio Massa","Negativa",0.429,0.365,0.499,0.341,0.413,0.613,0.356,0.365,0.449,0.522,0.092,0.592,0.845
"Sergio Massa","No sabe",0.034,0.045,0.022,0.08,0.006,0.008,0.08,0.018,0.069,0.004,0.052,0.018,0
"CFK","Positiva",0.405,0.43,0.378,0.501,0.437,0.27,0.324,0.411,0.453,0.307,0.842,0.119,0.108
"CFK","Neutra",0.096,0.067,0.126,0.071,0.047,0.192,0.148,0.125,0.051,0.118,0.054,0.112,0.03
"CFK","Negativa",0.482,0.503,0.46,0.428,0.49,0.538,0.469,0.43,0.488,0.575,0.104,0.746,0.862
"CFK","No sabe",0.017,0,0.036,0,0.026,0,0.059,0.034,0.008,0,0,0.023,0
"Griselda Romariz","Positiva",0.136,0.189,0.08,0.208,0.121,0.074,0.161,0.131,0.125,0.164,0.124,0.148,0.17
"Griselda Romariz","Neutra",0.39,0.353,0.43,0.354,0.397,0.487,0.258,0.362,0.43,0.379,0.448,0.377,0.13
"Griselda Romariz","Negativa",0.173,0.176,0.168,0.212,0.201,0.102,0.117,0.155,0.188,0.18,0.176,0.137,0.445
"Griselda Romariz","No sabe",0.301,0.282,0.322,0.226,0.281,0.337,0.464,0.352,0.257,0.277,0.252,0.338,0.255
"Javier Milei","Positiva",0.322,0.407,0.229,0.38,0.312,0.299,0.257,0.275,0.313,0.438,0.127,0.576,0.199
"Javier Milei","Neutra",0.196,0.182,0.212,0.194,0.161,0.231,0.268,0.183,0.263,0.094,0.135,0.219,0.674
"Javier Milei","Negativa",0.413,0.355,0.475,0.344,0.449,0.451,0.378,0.432,0.363,0.468,0.629,0.19,0.072
"Javier Milei","No sabe",0.069,0.056,0.084,0.082,0.078,0.019,0.097,0.11,0.061,0,0.109,0.015,0.055
"Leandro Costa","Positiva",0.182,0.181,0.183,0.105,0.109,0.33,0.346,0.252,0.126,0.143,0.033,0.41,0.273
"Leandro Costa","Neutra",0.395,0.362,0.428,0.437,0.414,0.408,0.203,0.408,0.452,0.267,0.417,0.322,0.566
"Leandro Costa","Negativa",0.273,0.274,0.272,0.341,0.298,0.173,0.214,0.159,0.282,0.482,0.373,0.127,0.09
"Leandro Costa","No sabe",0.15,0.183,0.117,0.117,0.179,0.089,0.237,0.181,0.14,0.108,0.177,0.141,0.071
"Mariano Castagnaro","Positiva",0.139,0.143,0.133,0,0.153,0.2,0.254,0.208,0.076,0.107,0.07,0.26,0.177
"Mariano Castagnaro","Neutra",0.442,0.411,0.474,0.664,0.313,0.495,0.351,0.353,0.518,0.488,0.528,0.385,0.588
"Mariano Castagnaro","Negativa",0.211,0.252,0.17,0.139,0.319,0.136,0.113,0.232,0.162,0.255,0.217,0.193,0.041
"Mariano Castagnaro","No sabe",0.208,0.194,0.223,0.197,0.215,0.169,0.282,0.207,0.244,0.15,0.185,0.162,0.194
"Roberto Costa","Positiva",0.208,0.194,0.222,0.101,0.158,0.324,0.388,0.264,0.149,0.198,0.072,0.393,0.322
"Roberto Costa","Neutra",0.373,0.363,0.385,0.482,0.327,0.383,0.301,0.363,0.401,0.347,0.461,0.363,0.517
"Roberto Costa","Negativa",0.323,0.344,0.3,0.258,0.449,0.215,0.197,0.321,0.275,0.403,0.386,0.208,0.071
"Roberto Costa","No sabe",0.096,0.099,0.093,0.159,0.066,0.078,0.114,0.052,0.175,0.052,0.081,0.036,0.09
"Jesica Avejera","Positiva",0.13,0.167,0.092,0.174,0.089,0.115,0.22,0.129,0.156,0.092,0.092,0.205,0.186
"Jesica Avejera","Neutra",0.385,0.339,0.433,0.351,0.378,0.503,0.257,0.368,0.399,0.393,0.456,0.344,0.114
"Jesica Avejera","Negativa",0.202,0.232,0.17,0.177,0.251,0.15,0.17,0.229,0.15,0.235,0.209,0.155,0.064
"Jesica Avejera","No sabe",0.283,0.262,0.305,0.298,0.282,0.232,0.353,0.274,0.295,0.28,0.243,0.296,0.636
"Horacio Rodriguez Larreta","Positiva",0.261,0.249,0.273,0.037,0.278,0.507,0.269,0.387,0.126,0.25,0.16,0.405,0.294
"Horacio Rodriguez Larreta","Neutra",0.233,0.22,0.248,0.258,0.222,0.229,0.226,0.239,0.182,0.318,0.274,0.219,0.091
"Horacio Rodriguez Larreta","Negativa",0.458,0.482,0.432,0.625,0.467,0.243,0.425,0.326,0.621,0.425,0.508,0.351,0.615
"Horacio Rodriguez Larreta","No sabe",0.048,0.049,0.047,0.08,0.033,0.021,0.08,0.048,0.071,0.007,0.058,0.025,0
"Mauricio Macri","Positiva",0.274,0.257,0.291,0.183,0.265,0.33,0.411,0.302,0.275,0.217,0.078,0.509,0.545
"Mauricio Macri","Neutra",0.218,0.226,0.21,0.27,0.191,0.269,0.106,0.19,0.211,0.287,0.202,0.222,0.268
"Mauricio Macri","Negativa",0.486,0.479,0.493,0.473,0.544,0.401,0.456,0.504,0.46,0.496,0.674,0.266,0.187
"Mauricio Macri","No sabe",0.022,0.038,0.006,0.074,0,0,0.027,0.004,0.054,0,0.046,0.003,0
"Alberto Fernandez","Positiva",0.271,0.236,0.308,0.216,0.35,0.161,0.311,0.353,0.233,0.178,0.509,0.122,0.138
"Alberto Fernandez","Neutra",0.182,0.212,0.151,0.179,0.181,0.182,0.196,0.153,0.248,0.122,0.259,0.149,0.058
"Alberto Fernandez","Negativa",0.542,0.548,0.535,0.605,0.466,0.657,0.466,0.489,0.517,0.691,0.232,0.723,0.804
"Alberto Fernandez","No sabe",0.005,0.004,0.006,0,0.003,0,0.027,0.005,0.002,0.009,0,0.006,0
"Ricardo Choffi","Positiva",0.06,0.054,0.065,0,0.06,0.066,0.171,0.07,0.051,0.054,0.033,0.101,0.128
"Ricardo Choffi","Neutra",0.445,0.434,0.457,0.491,0.401,0.54,0.336,0.418,0.486,0.43,0.549,0.382,0.12
"Ricardo Choffi","Negativa",0.18,0.249,0.108,0.178,0.246,0.108,0.079,0.196,0.16,0.181,0.167,0.157,0.065
"Ricardo Choffi","No sabe",0.315,0.263,0.37,0.331,0.293,0.286,0.414,0.316,0.303,0.335,0.251,0.36,0.687
