"var","categoria","A Ariel Sujarchuk por el Frente de Todos","A Roberto Costa por Juntos por el cambio","A Mariano Castagnaro por Juntos por el Cambio","A Jesica Avejera por Juntos por el Cambio","A Ricardo Choffi por  Consenso Federal","A Griselda Romariz por los liberales libertarios","A Sandro Salazar por el Frente de Izquierda","No sabe"
"P07","Al candidato del Frente de Todos",0.712,0.052,0.101,0.241,0,0.045,0.167,0.019
"P07","Al candidato de Juntos por el Cambio",0.067,0.769,0.466,0.599,0.141,0.051,0,0.152
"P07","Al candidato de los liberales - libertarios",0.065,0.069,0.371,0.084,0.539,0.852,0,0.061
"P07","Al candidato de Consenso Federal",0.025,0.002,0,0.017,0.022,0,0,0.043
"P07","Al candidato de la Izquierda",0.005,0.008,0,0,0.201,0.008,0.222,0.022
"P07","A otro candidato",0.026,0.045,0.027,0.059,0,0.044,0.078,0.28
"P07","No sabe",0.1,0.055,0.035,0,0.097,0,0.533,0.423
"P09","A Carlos “Beto” Ramil por el Frente de Todos",0.627,0,0.012,0,0.101,0.007,0,0.025
"P09","A Roberto Costa por Juntos por el cambio",0.087,0.823,0.049,0.268,0,0.015,0.129,0.14
"P09","A Mariano Castagnaro por Juntos por el Cambio",0.016,0.106,0.755,0.079,0.157,0.007,0.103,0.029
"P09","A Jesica Avejera por Juntos por el Cambio",0.018,0.036,0.006,0.557,0,0.007,0,0
"P09","A Ricardo Choffi por Consenso Federal",0.018,0,0.012,0,0.374,0.004,0.103,0.01
"P09","A Griselda Romariz por los liberales libertarios",0.045,0,0.131,0.017,0.246,0.92,0,0.064
"P09","A Sandro Salazar por el Frente de Izquierda",0.01,0,0.014,0.017,0.011,0,0.347,0.026
"P09","No sabe",0.179,0.035,0.021,0.062,0.111,0.04,0.318,0.706
"P10","A Ariel Sujarchuk por el Frente de Todos",0.938,0.01,0.022,0.028,0,0,0.086,0.138
"P10","A Roberto Costa por Juntos por el Cambio",0.021,0.899,0.197,0.565,0,0.074,0.137,0.215
"P10","A Ricardo Choffi por Consenso Federal",0.008,0.029,0.179,0.062,0.228,0,0.028,0.02
"P10","A Griselda Romariz por los liberales libertarios",0.004,0.008,0.258,0.073,0.08,0.468,0,0.041
"P10","A Sandro Salazar por el Frente de Izquierda",0.016,0.04,0.036,0.03,0.072,0,0.416,0
"P10","No sabe",0.013,0.014,0.308,0.242,0.62,0.458,0.333,0.586
"P12","A  Carlos “Beto” Ramil por el Frente de Todos",0.753,0.039,0.044,0.271,0,0.012,0,0.029
