"var","categoria","Positiva","Neutra","Negativa","No sabe"
"P07","Al candidato del Frente de Todos",0.734,0.295,0.1,0.146
"P07","Al candidato de Juntos por el Cambio",0.096,0.355,0.418,0.241
"P07","Al candidato de los liberales - libertarios",0.081,0.187,0.396,0
"P07","Al candidato de Consenso Federal",0.001,0,0,0
"P07","Al candidato de la Izquierda",0,0,0.032,0
"P07","A otro candidato",0.033,0.087,0.037,0.442
"P07","No sabe",0.055,0.076,0.017,0.171
"P08","A Ariel Sujarchuk por el Frente de Todos",0.869,0.317,0.097,0
"P08","A Roberto Costa por Juntos por el cambio",0.054,0.26,0.283,0.241
"P08","A Mariano Castagnaro por Juntos por el Cambio",0.016,0.108,0.132,0.23
"P08","A Jesica Avejera por Juntos por el Cambio",0.01,0.045,0.087,0
"P08","A Ricardo Choffi por  Consenso Federal",0,0,0.007,0
"P08","A Griselda Romariz por los liberales libertarios",0.026,0.111,0.293,0
"P08","A Sandro Salazar por el Frente de Izquierda",0.005,0.001,0.027,0
"P08","No sabe",0.02,0.158,0.074,0.529
"P09","A Carlos “Beto” Ramil por el Frente de Todos",0.642,0.184,0.015,0
"P09","A Roberto Costa por Juntos por el cambio",0.098,0.241,0.32,0.241
"P09","A Mariano Castagnaro por Juntos por el Cambio",0.024,0.111,0.165,0.146
"P09","A Jesica Avejera por Juntos por el Cambio",0.011,0.044,0.042,0
"P09","A Ricardo Choffi por Consenso Federal",0.003,0.007,0.017,0
"P09","A Griselda Romariz por los liberales libertarios",0.11,0.124,0.326,0
"P09","A Sandro Salazar por el Frente de Izquierda",0.005,0.002,0.05,0.084
"P09","No sabe",0.107,0.287,0.065,0.529
"P10","A Ariel Sujarchuk por el Frente de Todos",0.849,0.308,0.036,0
"P10","A Roberto Costa por Juntos por el Cambio",0.053,0.303,0.484,0.241
"P10","A Ricardo Choffi por Consenso Federal",0.014,0.034,0.04,0
"P10","A Griselda Romariz por los liberales libertarios",0.009,0.133,0.253,0
"P10","A Sandro Salazar por el Frente de Izquierda",0.004,0,0.036,0.084
"P10","No sabe",0.071,0.222,0.151,0.675
"P12","A  Carlos “Beto” Ramil por el Frente de Todos",0.674,0.277,0.096,0.084
"P12","A Roberto Costa por Juntos por el Cambio",0.102,0.319,0.368,0.241
"P12","A Ricardo Choffi por Consenso Federal",0.006,0.018,0.025,0
"P12","A Griselda Romariz por los liberales libertarios",0.072,0.161,0.335,0
"P12","A Sandro Salazar por el Frente de Izquierda",0.005,0.011,0.038,0
"P12","No sabe",0.141,0.214,0.138,0.675
"P13","A Carlos “Beto” Ramil por el Frente de Todos",0.647,0.188,0.072,0
"P13","A Mariano Castagnaro por Juntos por el Cambio",0.113,0.327,0.389,0.471
"P13","A Ricardo Choffi por Consenso Federal",0.008,0.012,0.035,0
"P13","A Griselda Romariz por los liberales libertarios",0.067,0.161,0.328,0
"P13","A Sandro Salazar por el Frente de Izquierda",0.016,0.005,0.029,0
"P13","No sabe",0.149,0.307,0.147,0.529
"P14","Lo votaria",0.819,0.279,0.021,0.084
"P14","Puede que lo vote",0.095,0.195,0.086,0.146
"P14","Nunca lo votaría",0.041,0.445,0.852,0.599
"P14","No sabe",0.045,0.081,0.041,0.171
"P15","Lo votaria",0.164,0.316,0.306,0.241
"P15","Puede que lo vote",0.147,0.131,0.174,0.146
"P15","Nunca lo votaría",0.57,0.475,0.428,0.613
"P15","No sabe",0.119,0.078,0.092,0
"P16","Lo votaria",0.158,0.147,0.139,0.084
"P16","Puede que lo vote",0.21,0.26,0.186,0.146
"P16","Nunca lo votaría",0.397,0.459,0.384,0.444
"P16","No sabe",0.235,0.134,0.291,0.326
"P17","Lo votaria",0.428,0.067,0.081,0
"P17","Puede que lo vote",0.15,0.183,0.158,0
"P17","Nunca lo votaría",0.235,0.624,0.607,0.683
"P17","No sabe",0.187,0.126,0.154,0.317
"P18","Lo votaria",0.105,0.048,0.057,0.084
"P18","Puede que lo vote",0.089,0.15,0.146,0
"P18","Nunca lo votaría",0.505,0.619,0.605,0.358
"P18","No sabe",0.301,0.183,0.192,0.558
"P19","Lo votaria",0.114,0.146,0.162,0.084
"P19","Puede que lo vote",0.053,0.181,0.212,0
"P19","Nunca lo votaría",0.497,0.535,0.388,0.358
"P19","No sabe",0.336,0.138,0.238,0.558
"P20","Lo votaria",0.08,0.089,0.138,0.084
"P20","Puede que lo vote",0.135,0.216,0.185,0
"P20","Nunca lo votaría",0.472,0.518,0.392,0.599
"P20","No sabe",0.313,0.177,0.285,0.317
"P21","Positiva",0.878,0.177,0.078,0.146
"P21","Neutra",0.067,0.661,0.19,0.084
"P21","Negativa",0.055,0.122,0.728,0.326
"P21","No sabe",0,0.04,0.004,0.444
"P22","Que continúe el intendente Ariel Sujarchuk",0.644,0.11,0.069,0.146
"P22","Que continúe Ariel Sujarchuk  pero con mejoras",0.246,0.253,0.015,0.084
