"var","categoria","La seguridad","El tránsito","El arreglo de las calles","Los parques y los espacios públicos","El sistema de salud","La limpieza de las calles","El deporte y la cultura","La luminaria","No sabe"
"P07","Al candidato del Frente de Todos",0.838,0.292,0.537,0.346,0.797,0.209,0.593,0.225,0.149
"P07","Al candidato de Juntos por el Cambio",0.073,0.425,0.224,0.29,0.092,0.272,0.161,0.165,0.46
"P07","Al candidato de los liberales - libertarios",0.061,0.283,0.093,0.222,0.075,0.519,0.152,0.308,0.209
"P07","Al candidato de Consenso Federal",0,0,0.002,0,0,0,0,0,0
"P07","Al candidato de la Izquierda",0,0,0,0.031,0,0,0,0,0.015
"P07","A otro candidato",0.011,0,0.044,0.068,0.01,0,0.009,0.302,0.113
"P07","No sabe",0.017,0,0.1,0.043,0.026,0,0.085,0,0.054
"P08","A Ariel Sujarchuk por el Frente de Todos",0.716,0.474,0.698,0.424,0.819,0.288,0.78,0.143,0.157
"P08","A Roberto Costa por Juntos por el cambio",0.057,0.436,0.124,0.188,0.065,0.06,0.073,0.075,0.316
"P08","A Mariano Castagnaro por Juntos por el Cambio",0.044,0.053,0.068,0.084,0.066,0.095,0.024,0.146,0.145
"P08","A Jesica Avejera por Juntos por el Cambio",0.172,0,0.005,0.034,0.002,0.147,0,0.008,0.058
"P08","A Ricardo Choffi por  Consenso Federal",0,0,0.005,0,0,0,0,0,0.027
"P08","A Griselda Romariz por los liberales libertarios",0,0.037,0.02,0.228,0.014,0.41,0.092,0.305,0.098
"P08","A Sandro Salazar por el Frente de Izquierda",0,0,0.005,0.024,0.015,0,0,0,0.011
"P08","No sabe",0.011,0,0.075,0.018,0.019,0,0.031,0.323,0.188
"P09","A Carlos “Beto” Ramil por el Frente de Todos",0.453,0.2,0.519,0.239,0.564,0.269,0.555,0.124,0.126
"P09","A Roberto Costa por Juntos por el cambio",0.249,0.657,0.146,0.197,0.079,0.08,0.071,0.414,0.202
"P09","A Mariano Castagnaro por Juntos por el Cambio",0.044,0.11,0.093,0.05,0.005,0.076,0.072,0.092,0.251
"P09","A Jesica Avejera por Juntos por el Cambio",0.033,0,0.01,0.038,0.002,0.147,0,0.008,0.042
"P09","A Ricardo Choffi por Consenso Federal",0,0,0,0.02,0,0,0.013,0.009,0.034
"P09","A Griselda Romariz por los liberales libertarios",0.162,0.026,0.053,0.305,0.085,0.41,0.136,0.299,0.113
"P09","A Sandro Salazar por el Frente de Izquierda",0,0,0.01,0.028,0,0,0.013,0,0.049
"P09","No sabe",0.059,0.007,0.169,0.123,0.265,0.018,0.14,0.054,0.183
"P10","A Ariel Sujarchuk por el Frente de Todos",0.715,0.483,0.645,0.427,0.838,0.288,0.702,0.131,0.144
"P10","A Roberto Costa por Juntos por el Cambio",0.197,0.479,0.147,0.227,0.07,0.155,0.084,0.6,0.399
"P10","A Ricardo Choffi por Consenso Federal",0.018,0,0.014,0.034,0.004,0,0.053,0.012,0.038
"P10","A Griselda Romariz por los liberales libertarios",0.01,0.026,0.023,0.151,0.014,0.41,0.129,0.048,0.132
"P10","A Sandro Salazar por el Frente de Izquierda",0,0,0.008,0.036,0.014,0,0,0,0.017
"P10","No sabe",0.06,0.012,0.163,0.125,0.06,0.147,0.032,0.209,0.27
"P12","A  Carlos “Beto” Ramil por el Frente de Todos",0.758,0.284,0.546,0.228,0.79,0.254,0.542,0.124,0.138
"P12","A Roberto Costa por Juntos por el Cambio",0.084,0.652,0.212,0.211,0.095,0.303,0.073,0.166,0.403
"P12","A Ricardo Choffi por Consenso Federal",0.018,0,0.002,0.025,0.005,0,0.019,0.008,0.027
"P12","A Griselda Romariz por los liberales libertarios",0.036,0.026,0.079,0.275,0.046,0.425,0.131,0.317,0.155
"P12","A Sandro Salazar por el Frente de Izquierda",0.011,0,0.002,0.041,0.004,0,0.025,0,0.015
"P12","No sabe",0.093,0.038,0.159,0.22,0.06,0.018,0.21,0.385,0.262
"P13","A Carlos “Beto” Ramil por el Frente de Todos",0.758,0.234,0.481,0.247,0.568,0.254,0.511,0.124,0.129
"P13","A Mariano Castagnaro por Juntos por el Cambio",0.065,0.635,0.276,0.236,0.052,0.19,0.135,0.207,0.412
"P13","A Ricardo Choffi por Consenso Federal",0.018,0,0.008,0.02,0.01,0.062,0,0,0.051
"P13","A Griselda Romariz por los liberales libertarios",0.037,0.026,0.074,0.257,0.094,0.445,0.131,0.336,0.102
"P13","A Sandro Salazar por el Frente de Izquierda",0.011,0,0.003,0.028,0.051,0,0.013,0,0.015
"P13","No sabe",0.111,0.105,0.158,0.212,0.225,0.049,0.21,0.333,0.291
"P14","Lo votaria",0.6,0.454,0.646,0.405,0.823,0.318,0.728,0.032,0.125
"P14","Puede que lo vote",0.244,0.335,0.122,0.089,0.065,0,0.051,0.175,0.058
"P14","Nunca lo votaría",0.145,0.133,0.179,0.422,0.102,0.682,0.212,0.775,0.713
"P14","No sabe",0.011,0.078,0.053,0.084,0.01,0,0.009,0.018,0.104
"P15","Lo votaria",0.441,0.52,0.218,0.177,0.104,0.378,0.114,0.094,0.274
"P15","Puede que lo vote",0.132,0.235,0.136,0.071,0.065,0.151,0.235,0.422,0.217
"P15","Nunca lo votaría",0.427,0.219,0.516,0.606,0.669,0.471,0.531,0.217,0.379
"P15","No sabe",0,0.026,0.13,0.146,0.162,0,0.12,0.267,0.13
"P16","Lo votaria",0.471,0.176,0.182,0.112,0.078,0.136,0.044,0.009,0.237
"P16","Puede que lo vote",0.151,0.482,0.176,0.231,0.186,0.246,0.165,0.217,0.206
"P16","Nunca lo votaría",0.17,0.296,0.506,0.349,0.259,0.425,0.689,0.433,0.313
"P16","No sabe",0.208,0.046,0.136,0.308,0.477,0.193,0.102,0.341,0.244
"P17","Lo votaria",0.709,0.296,0.247,0.151,0.238,0.241,0.295,0.106,0.101
"P17","Puede que lo vote",0.042,0.281,0.146,0.13,0.318,0.091,0.304,0.03,0.096
"P17","Nunca lo votaría",0.154,0.322,0.444,0.524,0.209,0.591,0.372,0.433,0.665
"P17","No sabe",0.095,0.101,0.163,0.195,0.235,0.077,0.029,0.431,0.138
"P18","Lo votaria",0.369,0.081,0.052,0.036,0.044,0.241,0.044,0.099,0
"P18","Puede que lo vote",0.032,0.121,0.082,0.042,0.176,0.196,0.124,0.012,0.246
"P18","Nunca lo votaría",0.37,0.301,0.607,0.733,0.424,0.424,0.769,0.718,0.468
"P18","No sabe",0.229,0.497,0.259,0.189,0.356,0.139,0.063,0.171,0.286
"P19","Lo votaria",0.359,0.046,0.06,0.168,0.031,0.736,0.027,0.303,0.094
"P19","Puede que lo vote",0.072,0.186,0.132,0.056,0.177,0.152,0.051,0.057,0.277
"P19","Nunca lo votaría",0.312,0.297,0.522,0.502,0.404,0.046,0.745,0.542,0.37
"P19","No sabe",0.257,0.471,0.286,0.274,0.388,0.066,0.177,0.098,0.259
"P20","Lo votaria",0.258,0.153,0.075,0.057,0.046,0,0.071,0.275,0.053
"P20","Puede que lo vote",0.101,0.158,0.075,0.159,0.175,0.685,0.139,0.085,0.237
"P20","Nunca lo votaría",0.316,0.239,0.61,0.488,0.408,0.207,0.613,0.543,0.396
"P20","No sabe",0.325,0.45,0.24,0.296,0.371,0.108,0.177,0.097,0.314
"P21","Muy buena",0.737,0.074,0.447,0.267,0.504,0.254,0.272,0.086,0.13
"P21","Buena",0.042,0.345,0.227,0.186,0.132,0.018,0.265,0.116,0.065
"P21","Ni buena ni mala",0.159,0.303,0.233,0.237,0.287,0.505,0.41,0.187,0.214
"P21","Mala",0.062,0.009,0.037,0.214,0.072,0.223,0.005,0.303,0.236
"P21","Muy mala",0,0.269,0.051,0.096,0.005,0,0.048,0.308,0.282
"P21","No sabe",0,0,0.005,0,0,0,0,0,0.073
"P22","Que continúe el intendente Ariel Sujarchuk",0.849,0.085,0.54,0.235,0.528,0.145,0.276,0.103,0.109
"P22","Que continúe Ariel Sujarchuk  pero con mejoras",0.089,0.848,0.08,0.247,0.33,0.169,0.275,0.111,0.092
"P22","Que cambie Ariel Sujarchuk pero que se mantengan los avances",0.044,0.067,0.208,0.069,0.051,0.038,0.273,0.081,0.09
"P22","Que cambie el intendente Ariel Sujarchuk",0.018,0,0.172,0.449,0.091,0.648,0.176,0.705,0.709
"P24","La seguridad",0.378,0.35,0.37,0.373,0.126,0.562,0.269,0.598,0.388
"P24","El tránsito",0.088,0.497,0.138,0.211,0.313,0.155,0.117,0.063,0.095
"P24","El arreglo de las calles",0.061,0.143,0.212,0.13,0.185,0.016,0.118,0.091,0.146
"P24","Los parques y los espacios públicos",0.309,0,0.002,0.094,0.011,0,0,0,0.027
"P24","El sistema de salud",0.106,0,0.082,0.152,0.246,0.172,0.142,0.051,0.091
"P24","La limpieza de las calles",0,0,0.059,0.007,0.007,0.095,0.051,0.037,0.029
"P24","El deporte y la cultura",0,0,0,0,0,0,0.263,0,0.005
"P24","La luminaria",0,0.01,0.045,0.004,0,0,0.014,0.16,0.019
"P24","No sabe",0.058,0,0.092,0.029,0.112,0,0.026,0,0.2
"P25","Agua corriente y cloacas",0.513,0.376,0.545,0.61,0.495,0.612,0.559,0.249,0.615
"P25","Energía eléctrica",0.172,0.409,0.219,0.13,0.057,0.301,0.238,0.021,0.067
