"var","categoria","A Carlos “Beto” Ramil por el Frente de Todos","A Roberto Costa por Juntos por el cambio","A Mariano Castagnaro por Juntos por el Cambio","A Jesica Avejera por Juntos por el Cambio","A Ricardo Choffi por Consenso Federal","A Griselda Romariz por los liberales libertarios","A Sandro Salazar por el Frente de Izquierda","No sabe"
"P07","Al candidato del Frente de Todos",0.834,0.15,0.174,0.239,0.161,0.135,0.307,0.25
"P07","Al candidato de Juntos por el Cambio",0.052,0.634,0.572,0.576,0,0.05,0,0.076
"P07","Al candidato de los liberales - libertarios",0.047,0.087,0.178,0.126,0.382,0.743,0.01,0.053
"P07","Al candidato de Consenso Federal",0.021,0,0.005,0,0.457,0.004,0,0.01
"P07","Al candidato de la Izquierda",0,0.012,0.018,0,0,0.006,0.208,0.021
"P07","A otro candidato",0.023,0.067,0.021,0.059,0,0.04,0.39,0.146
"P07","No sabe",0.023,0.05,0.032,0,0,0.022,0.085,0.444
"P08","A Ariel Sujarchuk por el Frente de Todos",0.984,0.199,0.081,0.286,0.556,0.193,0.422,0.51
"P08","A Roberto Costa por Juntos por el cambio",0,0.677,0.201,0.201,0,0,0,0.036
"P08","A Mariano Castagnaro por Juntos por el Cambio",0.003,0.018,0.633,0.015,0.059,0.091,0.093,0.01
"P08","A Jesica Avejera por Juntos por el Cambio",0,0.034,0.023,0.481,0,0.004,0.04,0.01
"P08","A Ricardo Choffi por  Consenso Federal",0.003,0,0.018,0,0.256,0.023,0.011,0.007
"P08","A Griselda Romariz por los liberales libertarios",0.002,0.005,0.006,0.017,0.019,0.634,0,0.018
"P08","A Sandro Salazar por el Frente de Izquierda",0,0.004,0.008,0,0.047,0,0.215,0.013
"P08","No sabe",0.008,0.063,0.03,0,0.063,0.055,0.219,0.396
"P10","A Ariel Sujarchuk por el Frente de Todos",0.985,0.169,0.037,0.312,0.144,0.144,0.476,0.586
"P10","A Roberto Costa por Juntos por el Cambio",0.002,0.784,0.333,0.317,0,0.057,0,0.046
"P10","A Ricardo Choffi por Consenso Federal",0,0.004,0.253,0.038,0.057,0,0.11,0.001
"P10","A Griselda Romariz por los liberales libertarios",0,0,0.155,0.132,0.043,0.401,0,0.023
"P10","A Sandro Salazar por el Frente de Izquierda",0,0.036,0,0.025,0.558,0.007,0.315,0
"P10","No sabe",0.013,0.007,0.222,0.176,0.198,0.391,0.099,0.344
"P12","A  Carlos “Beto” Ramil por el Frente de Todos",0.93,0.098,0.078,0.232,0.455,0.097,0.28,0.159
"P12","A Roberto Costa por Juntos por el Cambio",0.013,0.816,0.468,0.442,0,0.016,0,0.068
"P12","A Ricardo Choffi por Consenso Federal",0.016,0.004,0.071,0.006,0.145,0.009,0.127,0.008
"P12","A Griselda Romariz por los liberales libertarios",0.007,0.029,0.212,0.064,0.039,0.657,0.083,0.058
"P12","A Sandro Salazar por el Frente de Izquierda",0.003,0,0,0.057,0.181,0,0.281,0.012
"P12","No sabe",0.031,0.053,0.171,0.199,0.18,0.221,0.229,0.695
"P13","A Carlos “Beto” Ramil por el Frente de Todos",0.907,0.103,0.029,0.269,0.507,0.091,0.039,0.113
"P13","A Mariano Castagnaro por Juntos por el Cambio",0.028,0.683,0.673,0.292,0,0.023,0.206,0.047
"P13","A Ricardo Choffi por Consenso Federal",0.03,0.004,0.081,0.202,0.344,0.016,0,0.002
