clave	texto
encuesta_especial	Tracking Nacional - Corte E
bajada_encuesta_especial	Encuesta Continua
bajada_encuesta_especial_fecha	
ficha_Población objeto de estudio	Población mayor de 16 años.
ficha_Unidad de muestreo	Télefonos celulares de empresas Personal, Movistar y Claro, complementados con un 13% de teléfonos fijos para optimizar cobertura geográfica.
ficha_Ámbito	República Argentina
ficha_Estratificación	Cinco estratos regionales (NEA, NOA, Cuyo, Centro y Patagonia) y Cordones I,II y III de la RMBA e interior PBA.
ficha_Técnicas de recolección de información	ECA - Encuesta Contínua Automática con voz humana.
ficha_Diseño muestral	Muestreo dinámico aleatorio con captura de datos en tiempo real y de manera continua (sin rellamada y con reposición), estratificado por provincias, CABA, Cordones I, II y III de la RMBA e interior PBA. Con captura datos en tiempo real y de manera continua. La probabilidad de selección hacia el interior de cada estrato se definió de manera proporcional al tamaño del departamento.
ficha_Tamaño muestral	La captura de datos abarca 12.280 casos efectivos.
ficha_Dalibración de la muestra	En función de datos paramétricos censales de sexo, edad y nivel educativo.
ficha_Margen de error	+/- 1.25 %
