"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"A Daniel Passerini intendente y Javier Pretto viceintendente por Hacemos Unidos Por Córdoba",0.285,0.255,0.31,0.262,0.304,0.296,0.271,0.32,0.283,0.265,0.502,0.176,0.289
"A Rodrigo de Loredo intendente y Soher el Sukaria viceintendenta por Juntos por el Cambio",0.433,0.432,0.434,0.399,0.414,0.493,0.474,0.406,0.433,0.449,0.203,0.665,0.322
"A Verónica Sikora intendenta y Enrique Rigatuso viceintendente por La Libertad Primero",0.04,0.063,0.021,0.06,0.042,0.021,0.021,0.038,0.052,0.029,0.041,0.031,0.122
"A Juan Pablo Quinteros intendente y Gabriel Ratner viceintendente por Somos Córdoba",0.03,0.041,0.022,0.037,0.026,0.033,0.024,0.024,0.035,0.029,0.026,0.019,0.08
"A Jorge Scala intendente y Paola Janett González Cuevas viceintendenta por el Partido Demócrata",0.012,0.013,0.011,0.005,0.018,0.009,0.011,0.022,0.008,0.009,0.018,0.009,0.003
"A Humberto Spaccesi intendente y Silvia Peñaloza viceintendenta por Córdoba de Todos",0.021,0.025,0.017,0.028,0.023,0.015,0.01,0.012,0.018,0.03,0.042,0.005,0.023
"A César Orgaz intendente y Gonzalo Frontera viceintendente por Encuentro Vecinal Córdoba",0.012,0.018,0.006,0.017,0.01,0.003,0.02,0.004,0.016,0.013,0.003,0.007,0.013
"A Laura Vilches intendenta y Virginia Caldera Marsengo viceintendenta por El Frente De Izquierda y De Trabajadores-Unidad",0.042,0.036,0.047,0.042,0.051,0.029,0.037,0.036,0.024,0.065,0.058,0.002,0.045
"A los candidatos de otros partidos políticos",0.042,0.048,0.038,0.058,0.044,0.031,0.018,0.046,0.045,0.037,0.025,0.023,0.076
"No sabe",0.083,0.069,0.094,0.092,0.068,0.07,0.114,0.092,0.086,0.074,0.082,0.063,0.027
