"var","categoria","Siempre","Casi siempre","Casi nunca","Nunca, pero esta es una excepción"
"P05","Mucho",0.561,0.348,0.224,0.123
"P05","Bastante",0.3,0.44,0.319,0.165
"P05","Poco",0.087,0.17,0.303,0.255
"P05","Nada",0.045,0.032,0.124,0.373
"P05","No sabe",0.007,0.01,0.03,0.084
"P08","A Martín Llaryora gobernador y Myrian Prunotto vicegobernadora por Hacemos Unidos por Córdoba",0.334,0.326,0.333,0.265
"P08","A Luis Juez gobernador y Marcos Carasso vicegobernador por Juntos por el Cambio",0.425,0.421,0.371,0.356
"P08","A Agustín Spaccesi gobernador y Cristina Lagger vicegobernadora por La Libertad Avanza",0.071,0.054,0.059,0.042
"P08","A Federico Alesandri gobernador y Gabriela Estévez vicegobernadora por Creo en Córdoba de Todos",0.054,0.059,0.042,0.039
"P08","A Aurelio García Elorrio gobernador y María Rosa Marcone vicegobernadora por Encuentro Vecinal Córdoba",0.025,0.04,0.031,0.023
"P08","A Rodolfo Eiben gobernador y Gabriel Bornoroni vicegobernador por el Frente Liberal Demócrata Desarrollista",0.012,0.003,0.011,0.006
"P08","A Liliana Olivero gobernadora y Soledad Díaz vicegobernadora por el Frente de Izquierda y de Trabajadores-Unidad",0.012,0.025,0.03,0.015
"P08","A los candidatos de otros partidos políticos",0.014,0.015,0.021,0.052
"P08","No sabe",0.053,0.057,0.102,0.202
"P12","Si",0.681,0.531,0.261,0.259
"P12","No",0.319,0.469,0.739,0.741
