"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Capital","Interior","Fernandez","Macri","Lavagna"
"Siempre",0.261,0.266,0.257,0.221,0.257,0.254,0.34,0.338,0.224,0.236,0.247,0.272,0.278,0.309,0.109
"Casi siempre",0.34,0.352,0.328,0.251,0.346,0.423,0.345,0.278,0.334,0.404,0.354,0.328,0.418,0.356,0.228
"Casi nunca",0.285,0.274,0.295,0.352,0.293,0.247,0.217,0.25,0.314,0.281,0.282,0.287,0.232,0.261,0.626
"Nunca, pero esta es una excepción",0.114,0.108,0.12,0.176,0.104,0.076,0.098,0.134,0.128,0.079,0.117,0.113,0.072,0.074,0.037
