"var","categoria","A Daniel Passerini intendente y Javier Pretto viceintendente por Hacemos Unidos Por Córdoba","A Rodrigo de Loredo intendente y Soher el Sukaria viceintendenta por Juntos por el Cambio","A Verónica Sikora intendenta y Enrique Rigatuso viceintendente por La Libertad Primero","A Juan Pablo Quinteros intendente y Gabriel Ratner viceintendente por Somos Córdoba","A Jorge Scala intendente y Paola Janett González Cuevas viceintendenta por el Partido Demócrata","A Humberto Spaccesi intendente y Silvia Peñaloza viceintendenta por Córdoba de Todos","A César Orgaz intendente y Gonzalo Frontera viceintendente por Encuentro Vecinal Córdoba","A Laura Vilches intendenta y Virginia Caldera Marsengo viceintendenta por El Frente De Izquierda y De Trabajadores-Unidad","A los candidatos de otros partidos políticos","No sabe"
"P05","Mucho",0.423,0.416,0.431,0.426,0.467,0.663,0.478,0.543,0.322,0.242
"P05","Bastante",0.304,0.29,0.217,0.289,0.185,0.271,0.387,0.289,0.318,0.198
"P05","Poco",0.199,0.191,0.22,0.243,0.051,0.027,0.046,0.127,0.249,0.271
"P05","Nada",0.059,0.076,0.132,0.042,0.08,0.039,0.089,0,0.098,0.151
"P05","No sabe",0.015,0.027,0,0,0.217,0,0,0.041,0.013,0.138
"P06","Siempre",0.282,0.268,0.117,0.339,0.201,0.166,0.298,0.239,0.176,0.172
"P06","Casi siempre",0.397,0.36,0.373,0.525,0.538,0.462,0.479,0.244,0.299,0.303
"P06","Casi nunca",0.253,0.292,0.423,0.105,0.244,0.198,0.102,0.368,0.429,0.309
"P06","Nunca, pero esta es una excepción",0.068,0.08,0.087,0.031,0.017,0.174,0.121,0.149,0.096,0.216
"P08","A Martín Llaryora gobernador y Myrian Prunotto vicegobernadora por Hacemos Unidos por Córdoba",0.758,0.196,0.224,0.277,0.224,0.048,0,0.256,0.04,0.203
"P08","A Luis Juez gobernador y Marcos Carasso vicegobernador por Juntos por el Cambio",0.145,0.674,0.107,0.359,0.161,0.027,0,0.032,0.088,0.092
"P08","A Agustín Spaccesi gobernador y Cristina Lagger vicegobernadora por La Libertad Avanza",0.004,0.022,0.618,0.011,0,0,0.02,0.042,0.041,0.066
"P08","A Federico Alesandri gobernador y Gabriela Estévez vicegobernadora por Creo en Córdoba de Todos",0.05,0.005,0.006,0.153,0.051,0.659,0.072,0.149,0.094,0.092
"P08","A Aurelio García Elorrio gobernador y María Rosa Marcone vicegobernadora por Encuentro Vecinal Córdoba",0.006,0.032,0,0.159,0.531,0.153,0.368,0.023,0.028,0.014
"P08","A Rodolfo Eiben gobernador y Gabriel Bornoroni vicegobernador por el Frente Liberal Demócrata Desarrollista",0.001,0,0.045,0,0,0.037,0,0.06,0,0
"P08","A Liliana Olivero gobernadora y Soledad Díaz vicegobernadora por el Frente de Izquierda y de Trabajadores-Unidad",0.009,0.01,0,0.028,0,0,0.413,0.341,0,0.011
"P08","A los candidatos de otros partidos políticos",0.003,0.017,0,0.013,0.033,0.076,0.029,0.055,0.075,0.004
"P08","No sabe",0.024,0.044,0,0,0,0,0.098,0.042,0.634,0.518
"P12","Si",0.523,0.476,0.309,0.548,0.294,0.587,0.343,0.389,0.338,0.302
"P12","No",0.477,0.524,0.691,0.452,0.706,0.413,0.657,0.611,0.662,0.698
