"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Capital","Interior","Fernandez","Macri","Lavagna"
"A Martín Llaryora gobernador y Myrian Prunotto vicegobernadora por Hacemos Unidos por Córdoba",0.324,0.306,0.342,0.339,0.333,0.342,0.261,0.32,0.366,0.276,0.337,0.314,0.5,0.239,0.372
"A Luis Juez gobernador y Marcos Carasso vicegobernador por Juntos por el Cambio",0.401,0.396,0.407,0.347,0.377,0.43,0.498,0.413,0.404,0.388,0.365,0.43,0.211,0.604,0.32
"A Agustín Spaccesi gobernador y Cristina Lagger vicegobernadora por La Libertad Avanza",0.059,0.082,0.037,0.084,0.06,0.041,0.042,0.071,0.044,0.066,0.046,0.068,0.039,0.051,0.119
"A Federico Alesandri gobernador y Gabriela Estévez vicegobernadora por Creo en Córdoba de Todos",0.051,0.05,0.052,0.052,0.052,0.054,0.044,0.032,0.032,0.092,0.055,0.048,0.137,0.008,0.042
"A Aurelio García Elorrio gobernador y María Rosa Marcone vicegobernadora por Encuentro Vecinal Córdoba",0.032,0.045,0.019,0.007,0.051,0.028,0.028,0.041,0.021,0.037,0.038,0.027,0.015,0.024,0.04
"A Rodolfo Eiben gobernador y Gabriel Bornoroni vicegobernador por el Frente Liberal Demócrata Desarrollista",0.008,0.008,0.008,0.015,0.004,0.008,0.007,0.012,0.007,0.006,0.006,0.01,0.005,0.002,0.017
"A Liliana Olivero gobernadora y Soledad Díaz vicegobernadora por el Frente de Izquierda y de Trabajadores-Unidad",0.022,0.017,0.027,0.018,0.029,0.014,0.024,0.012,0.015,0.041,0.028,0.018,0.029,0.004,0.009
"A los candidatos de otros partidos políticos",0.02,0.025,0.015,0.033,0.022,0.009,0.009,0.021,0.02,0.018,0.025,0.016,0.016,0.015,0.002
"No sabe",0.083,0.071,0.093,0.105,0.072,0.074,0.087,0.078,0.091,0.076,0.1,0.069,0.048,0.053,0.079
