"var","categoria","A Daniel Passerini intendente y Javier Pretto viceintendente por Hacemos Unidos Por Córdoba","A Rodrigo de Loredo intendente y Soher el Sukaria viceintendenta por Juntos por el Cambio","A Verónica Sikora intendenta y Enrique Rigatuso viceintendente por La Libertad Primero","A Juan Pablo Quinteros intendente y Gabriel Ratner viceintendente por Somos Córdoba","A Jorge Scala intendente y Paola Janett González Cuevas viceintendenta por el Partido Demócrata","A Humberto Spaccesi intendente y Silvia Peñaloza viceintendenta por Córdoba de Todos","A César Orgaz intendente y Gonzalo Frontera viceintendente por Encuentro Vecinal Córdoba","A Laura Vilches intendenta y Virginia Caldera Marsengo viceintendenta por El Frente De Izquierda y De Trabajadores-Unidad","A los candidatos de otros partidos políticos"
"P05","Mucho",0.412,0.403,0.426,0.37,0.467,0.694,0.429,0.562,0.25
"P05","Bastante",0.303,0.283,0.216,0.266,0.185,0.246,0.403,0.272,0.268
"P05","Poco",0.2,0.209,0.232,0.215,0.051,0.024,0.041,0.128,0.212
"P05","Nada",0.063,0.077,0.126,0.035,0.08,0.036,0.127,0,0.193
"P05","No sabe",0.022,0.028,0,0.114,0.217,0,0,0.038,0.077
"P06","Siempre",0.273,0.267,0.121,0.302,0.201,0.151,0.293,0.224,0.142
"P06","Casi siempre",0.389,0.363,0.357,0.446,0.538,0.511,0.43,0.29,0.232
"P06","Casi nunca",0.264,0.287,0.431,0.226,0.244,0.18,0.092,0.346,0.383
"P06","Nunca, pero esta es una excepción",0.074,0.083,0.091,0.026,0.017,0.158,0.185,0.14,0.243
"P08_imputadas","A Martín Llaryora gobernador y Myrian Prunotto vicegobernadora por Hacemos Unidos por Córdoba",0.749,0.24,0.215,0.346,0.224,0.044,0.026,0.275,0.188
"P08_imputadas","A Luis Juez gobernador y Marcos Carasso vicegobernador por Juntos por el Cambio",0.161,0.667,0.103,0.301,0.161,0.024,0.088,0.03,0.378
"P08_imputadas","A Agustín Spaccesi gobernador y Cristina Lagger vicegobernadora por La Libertad Avanza",0.009,0.025,0.634,0.01,0,0,0.094,0.077,0.178
"P08_imputadas","A Federico Alesandri gobernador y Gabriela Estévez vicegobernadora por Creo en Córdoba de Todos",0.056,0.008,0.005,0.165,0.051,0.69,0.065,0.146,0.079
"P08_imputadas","A Aurelio García Elorrio gobernador y María Rosa Marcone vicegobernadora por Encuentro Vecinal Córdoba",0.006,0.034,0,0.144,0.531,0.139,0.33,0.044,0.069
"P08_imputadas","A Rodolfo Eiben gobernador y Gabriel Bornoroni vicegobernador por el Frente Liberal Demócrata Desarrollista",0.001,0,0.043,0,0,0.033,0,0.056,0
"P08_imputadas","A Liliana Olivero gobernadora y Soledad Díaz vicegobernadora por el Frente de Izquierda y de Trabajadores-Unidad",0.012,0.01,0,0.023,0,0,0.371,0.32,0
"P08_imputadas","A los candidatos de otros partidos políticos",0.006,0.016,0,0.011,0.033,0.07,0.026,0.052,0.108
"P12","Si",0.509,0.472,0.3,0.491,0.294,0.541,0.334,0.38,0.252
"P12","No",0.491,0.528,0.7,0.509,0.706,0.459,0.666,0.62,0.748
