"var","categoria","Mejor","Igual","Peor","No sabe"
"P09","Toloza Paz",0.793,0.474,0.18,0.34
"P09","Diego Santilli",0.019,0.145,0.336,0.21
"P09","Facundo Manes",0.024,0.055,0.139,0.057
"P09","Florencio Randazzo",0.026,0.139,0.034,0.019
"P09","A la izquierda",0.009,0.012,0.004,0.028
"P09","Jose Luis Espert",0,0.053,0.113,0.11
"P09","Otros candidatos",0.051,0.025,0.067,0.062
"P09","Votaría en blanco o anularía",0.078,0.097,0.127,0.174
