"var","categoria","Totalmente de acuerdo","Bastante de acuerdo","Poco de acuerdo","Nada de acuerdo","No sabe"
"P09","Toloza Paz",0.763,0.548,0.132,0.069,0.141
"P09","Diego Santilli",0.019,0.089,0.285,0.449,0.373
"P09","Facundo Manes",0.017,0.062,0.177,0.136,0.077
"P09","Florencio Randazzo",0.016,0.049,0.11,0.014,0
"P09","A la izquierda",0.002,0.024,0.029,0.002,0
"P09","Jose Luis Espert",0.032,0.02,0.067,0.191,0.046
"P09","Otros candidatos",0.046,0.067,0.045,0.073,0.159
"P09","Votaría en blanco o anularía",0.105,0.141,0.155,0.066,0.204
