"","Toloza Paz","Diego Santilli","Facundo Manes","Florencio Randazzo","A la izquierda","Jose Luis Espert","Otros candidatos","Votaría en blanco o anularía"
"Si",0.949,0.816,0.811,0.723,0.514,0.749,0.743,0.512
"Puede ser",0.043,0.128,0.071,0.054,0.381,0.154,0.21,0.277
"No",0.008,0.056,0.118,0.223,0.105,0.097,0.047,0.211
