"var","categoria","Si, hay mucha información en los medios y comprendo las medidas preventivas","Si, hay mucha información, aunque muchas veces es contradictoria","Mas o menos. Es difícil creerle a los que informan","No, la información es escasa y difícil de entender","No, la información no es confiable y es imposible de entender","No sabe"
"P09","Toloza Paz",0.412,0.315,0.363,0.1,0.094,0
"P09","Diego Santilli",0.183,0.309,0.239,0.272,0.176,0.625
"P09","Facundo Manes",0.065,0.151,0.078,0.115,0.247,0
"P09","Florencio Randazzo",0.059,0.038,0.008,0,0,0
"P09","A la izquierda",0.009,0.018,0.005,0,0.046,0
"P09","Jose Luis Espert",0.078,0.051,0.134,0,0,0.375
"P09","Otros candidatos",0.054,0.073,0.056,0,0.269,0
"P09","Votaría en blanco o anularía",0.14,0.045,0.117,0.513,0.168,0
