"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","CABA","Centro","1 cordón GBA","2 cordón GBA","3 cordón GBA","Cuyo","Interior GBA","NEA","NOA","Patagonia"
"Muy seguro",0.115,0.125,0.106,0.14,0.104,0.102,0.121,0.124,0.105,0.119,0.113,0.137,0.092,0.081,0.097,0.092,0.148,0.154,0.094,0.128
"Algo seguro",0.365,0.343,0.383,0.357,0.375,0.344,0.378,0.391,0.363,0.332,0.399,0.325,0.376,0.322,0.354,0.311,0.331,0.471,0.453,0.373
"Seguro",0.119,0.124,0.116,0.099,0.114,0.133,0.148,0.1,0.119,0.145,0.162,0.134,0.076,0.1,0.116,0.157,0.127,0.085,0.099,0.16
"Algo inseguro",0.174,0.175,0.173,0.172,0.174,0.188,0.159,0.159,0.18,0.184,0.176,0.168,0.199,0.169,0.158,0.178,0.171,0.15,0.169,0.208
"Inseguro",0.14,0.152,0.129,0.116,0.147,0.156,0.137,0.148,0.136,0.135,0.101,0.149,0.153,0.181,0.165,0.161,0.14,0.088,0.138,0.068
"Muy inseguro",0.087,0.081,0.093,0.116,0.086,0.077,0.057,0.078,0.097,0.085,0.049,0.087,0.104,0.147,0.11,0.101,0.083,0.052,0.047,0.063
