"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","CABA","Centro","1 cordón GBA","2 cordón GBA","3 cordón GBA","Cuyo","Interior GBA","NEA","NOA","Patagonia"
"Si",0.247,0.268,0.228,0.312,0.267,0.195,0.162,0.298,0.235,0.199,0.164,0.297,0.222,0.254,0.214,0.255,0.209,0.265,0.294,0.193
"No",0.753,0.732,0.772,0.688,0.733,0.805,0.838,0.702,0.765,0.801,0.836,0.703,0.778,0.746,0.786,0.745,0.791,0.735,0.706,0.807
