"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad"
"Rolo Figueroa","Positiva",0.485,0.506,0.463,0.538,0.435,0.517,0.509,0.412,0.573,0.43,0.636,0.405,0.275,0.224,0.524,0.46,0.46,0.509
"Rolo Figueroa","Neutra",0.36,0.346,0.375,0.343,0.395,0.321,0.34,0.41,0.307,0.388,0.289,0.418,0.441,0.541,0.321,0.385,0.359,0.361
"Rolo Figueroa","Negativa",0.137,0.142,0.131,0.119,0.138,0.161,0.121,0.178,0.087,0.168,0.062,0.14,0.284,0.179,0.146,0.13,0.17,0.106
"Rolo Figueroa","No sabe",0.018,0.006,0.031,0,0.032,0.001,0.03,0,0.033,0.014,0.013,0.037,0,0.056,0.009,0.025,0.011,0.024
"Victoria Villarruel","Positiva",0.494,0.531,0.455,0.676,0.449,0.455,0.417,0.502,0.516,0.456,0.51,0.491,0.234,0.835,0.168,0.747,0.499,0.489
"Victoria Villarruel","Neutra",0.145,0.107,0.183,0.06,0.185,0.148,0.137,0.2,0.143,0.097,0.16,0.142,0.15,0.104,0.14,0.136,0.168,0.123
"Victoria Villarruel","Negativa",0.344,0.341,0.349,0.264,0.356,0.348,0.432,0.263,0.327,0.439,0.315,0.324,0.59,0.06,0.668,0.104,0.315,0.371
"Victoria Villarruel","No sabe",0.017,0.021,0.013,0,0.01,0.049,0.014,0.035,0.014,0.008,0.015,0.043,0.026,0.001,0.024,0.013,0.018,0.017
"Juan Schiaretti","Positiva",0.351,0.408,0.292,0.47,0.314,0.339,0.304,0.384,0.353,0.32,0.385,0.417,0.164,0.503,0.203,0.458,0.351,0.351
"Juan Schiaretti","Neutra",0.37,0.322,0.42,0.341,0.41,0.327,0.359,0.366,0.388,0.35,0.363,0.276,0.42,0.356,0.358,0.389,0.385,0.357
"Juan Schiaretti","Negativa",0.253,0.247,0.259,0.176,0.262,0.27,0.318,0.22,0.237,0.301,0.228,0.264,0.384,0.132,0.404,0.135,0.24,0.264
"Juan Schiaretti","No sabe",0.026,0.023,0.029,0.013,0.014,0.064,0.019,0.03,0.022,0.029,0.024,0.043,0.032,0.009,0.035,0.018,0.024,0.028
"Javier Milei","Positiva",0.508,0.578,0.435,0.632,0.493,0.453,0.425,0.56,0.52,0.443,0.538,0.489,0.25,0.789,0.181,0.762,0.507,0.51
"Javier Milei","Neutra",0.111,0.077,0.147,0.023,0.156,0.122,0.097,0.161,0.103,0.075,0.119,0.106,0.083,0.12,0.124,0.089,0.114,0.108
"Javier Milei","Negativa",0.377,0.342,0.414,0.345,0.342,0.425,0.478,0.279,0.371,0.478,0.337,0.405,0.663,0.091,0.689,0.146,0.372,0.381
"Javier Milei","No sabe",0.004,0.003,0.004,0,0.009,0,0,0,0.006,0.004,0.006,0,0.004,0,0.006,0.003,0.007,0.001
"Patricia Bullrich","Positiva",0.508,0.556,0.457,0.643,0.483,0.434,0.474,0.613,0.496,0.427,0.533,0.497,0.284,0.865,0.192,0.751,0.505,0.511
"Patricia Bullrich","Neutra",0.11,0.077,0.144,0.103,0.126,0.105,0.072,0.093,0.135,0.089,0.119,0.099,0.116,0.04,0.098,0.112,0.114,0.106
"Patricia Bullrich","Negativa",0.378,0.364,0.394,0.254,0.383,0.461,0.454,0.294,0.363,0.481,0.342,0.404,0.596,0.095,0.706,0.133,0.373,0.383
"Patricia Bullrich","No sabe",0.004,0.003,0.005,0,0.008,0,0,0,0.006,0.003,0.006,0,0.004,0,0.004,0.004,0.008,0
"Mariano Gaido","Positiva",0.331,0.355,0.305,0.4,0.254,0.369,0.413,0.353,0.361,0.27,0.361,0.397,0.263,0.12,0.42,0.272,0.347,0.316
"Mariano Gaido","Neutra",0.361,0.309,0.417,0.324,0.412,0.315,0.332,0.234,0.416,0.401,0.358,0.389,0.379,0.416,0.329,0.384,0.321,0.398
"Mariano Gaido","Negativa",0.269,0.315,0.221,0.276,0.282,0.274,0.204,0.341,0.189,0.313,0.259,0.165,0.296,0.409,0.204,0.309,0.322,0.221
"Mariano Gaido","No sabe",0.039,0.021,0.057,0,0.052,0.042,0.051,0.072,0.034,0.016,0.022,0.049,0.062,0.055,0.047,0.035,0.01,0.065
"Karina Milei","Positiva",0.376,0.383,0.368,0.612,0.317,0.321,0.285,0.395,0.41,0.314,0.383,0.341,0.224,0.646,0.134,0.563,0.381,0.37
"Karina Milei","Neutra",0.262,0.283,0.241,0.165,0.306,0.272,0.255,0.322,0.257,0.217,0.275,0.278,0.258,0.289,0.172,0.323,0.274,0.252
"Karina Milei","Negativa",0.345,0.32,0.37,0.223,0.364,0.385,0.408,0.272,0.309,0.455,0.323,0.352,0.512,0.064,0.672,0.1,0.323,0.364
"Karina Milei","No sabe",0.017,0.014,0.021,0,0.013,0.022,0.052,0.011,0.024,0.014,0.019,0.029,0.006,0.001,0.022,0.014,0.022,0.014
"Ramon Rioseco","Positiva",0.34,0.35,0.33,0.381,0.278,0.391,0.398,0.393,0.334,0.303,0.37,0.401,0.484,0.035,0.491,0.229,0.306,0.372
"Ramon Rioseco","Neutra",0.287,0.261,0.315,0.193,0.316,0.311,0.302,0.205,0.351,0.272,0.268,0.318,0.215,0.222,0.305,0.273,0.298,0.277
"Ramon Rioseco","Negativa",0.342,0.38,0.301,0.408,0.366,0.281,0.253,0.38,0.268,0.408,0.344,0.214,0.301,0.677,0.187,0.455,0.377,0.309
"Ramon Rioseco","No sabe",0.031,0.009,0.054,0.018,0.04,0.017,0.047,0.022,0.047,0.017,0.018,0.067,0,0.066,0.017,0.043,0.019,0.042
"Guillermo Francos","Positiva",0.26,0.301,0.216,0.413,0.203,0.216,0.277,0.29,0.254,0.241,0.276,0.338,0.072,0.268,0.105,0.382,0.278,0.242
"Guillermo Francos","Neutra",0.353,0.352,0.355,0.321,0.365,0.387,0.305,0.38,0.374,0.302,0.398,0.265,0.308,0.447,0.319,0.38,0.394,0.316
