"var","categoria","Proteger sus derechos ancestrales","Iniciar un proceso de negociación con la partes del conflicto","Exigir el desalojo del predio e iniciar luego un proceso de negociación","No negociar con usurpadores y proceder al desalojo de la propiedad","No sabe"
"P38","Ni buena ni mala",0.299,0.402,0.396,0.395,0.189
"P38","Mala",0.208,0.181,0.144,0.038,0.124
"P38","Muy mala",0.213,0.077,0.063,0.086,0.215
"P38","No sabe",0.055,0.02,0.028,0.003,0.04
"P39","Muy buena",0.113,0.101,0.2,0.201,0
"P39","Buena",0.034,0.109,0.194,0.307,0.407
"P39","Ni buena ni mala",0.182,0.251,0.294,0.339,0.093
"P39","Mala",0.212,0.171,0.131,0.047,0.106
"P39","Muy mala",0.439,0.332,0.16,0.101,0.394
"P39","No sabe",0.02,0.036,0.021,0.005,0
"P40","Muy buena",0.116,0.081,0.068,0.188,0
"P40","Buena",0.051,0.116,0.165,0.27,0.228
"P40","Ni buena ni mala",0.254,0.382,0.407,0.357,0.305
"P40","Mala",0.175,0.155,0.124,0.038,0.088
"P40","Muy mala",0.329,0.181,0.12,0.102,0.266
"P40","No sabe",0.075,0.085,0.116,0.045,0.113
