"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei"
"Si",0.229,0.224,0.235,0.23,0.196,0.246,0.315,0.275,0.253,0.178,0.254,0.277,0.189,0.135,0.349,0.153
"No",0.453,0.509,0.395,0.555,0.457,0.435,0.326,0.464,0.403,0.503,0.421,0.36,0.536,0.599,0.301,0.551
"No sabe",0.318,0.267,0.37,0.215,0.347,0.319,0.359,0.261,0.344,0.319,0.325,0.363,0.275,0.266,0.35,0.296
