"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"Victoria Tolosa Paz para diputada nacional y Walter Enrique Acuña para concejal por el “Frente de todos”",0.265,0.313,0.216,0.167,0.292,0.365,0.297,0.223,0.283,0.333,0.394,0.026,0.149
"Diego Santilli para diputado nacional y Guido Giana para concejal por “Juntos”",0.193,0.21,0.176,0.135,0.213,0.173,0.353,0.211,0.183,0.172,0.122,0.547,0.057
"Facundo Manes para diputado nacional y Ruben Eduardo Mobilio para concejal por “Juntos”",0.046,0.047,0.046,0.037,0.046,0.088,0,0.027,0.051,0.093,0.009,0.151,0.164
"Florencio Randazzo para diputado nacional y Maico Müller para concejal por “Vamos con vos”",0.062,0.031,0.092,0.04,0.022,0.16,0.122,0.115,0.025,0.024,0.085,0.025,0.02
"A la lista de Anibal Regueiro para concejal por “Peronenses Primero”",0.048,0.037,0.059,0.05,0.043,0.024,0.113,0.044,0.049,0.058,0.033,0.055,0
"A la lista de José Luis Espert para diputado nacional por “Avanza Libertad”",0.046,0.061,0.03,0.097,0.026,0.013,0.013,0.043,0.045,0.059,0.002,0.041,0.236
"A los candidatos de la izquierda",0.037,0.062,0.012,0.08,0.028,0,0,0,0.076,0.015,0.059,0,0
"Otros Candidatos",0.111,0.078,0.145,0.111,0.137,0.08,0.055,0.109,0.125,0.065,0.109,0.02,0.271
"En blanco o anularía",0.096,0.057,0.136,0.085,0.134,0.077,0,0.132,0.062,0.106,0.105,0.013,0.081
"Cortaría Boleta",0.096,0.104,0.088,0.198,0.059,0.02,0.047,0.096,0.101,0.075,0.082,0.122,0.022
