"var","categoria","Si","No"
"P05","Si",0.737,0.535
"P05","Puede ser",0.121,0.194
"P05","No",0.142,0.271
"P06","Victoria Tolosa Paz para diputada nacional y Walter Enrique Acuña para concejal por el “Frente de todos”",0.313,0.137
"P06","Diego Santilli para diputado nacional y Guido Giana para concejal por “Juntos”",0.21,0.232
"P06","Facundo Manes para diputado nacional y Ruben Eduardo Mobilio para concejal por “Juntos”",0.053,0.026
"P06","Florencio Randazzo para diputado nacional y Maico Müller para concejal por “Vamos con vos”",0.05,0.061
"P06","A la lista de Anibal Regueiro para concejal por “Peronenses Primero”",0.031,0.098
"P06","A la lista de José Luis Espert para diputado nacional por “Avanza Libertad”",0.03,0.16
"P06","A los candidatos de la izquierda",0.031,0.098
"P06","Otros Candidatos",0.128,0.089
"P06","En blanco o anularía",0.127,0
"P06","Cortaría Boleta",0.027,0.099
"P10","Toloza Paz por el Frente de todos",0.325,0.154
"P10","Diego Santilli dentro de la interna de Juntos por el cambio",0.227,0.259
"P10","Facundo Manes dentro de la interna de Juntos por el cambio",0.056,0.029
"P10","Florencio Randazzo por el frente ""Vamos con vos.""",0.051,0.072
"P10","José Luis Espert por los liberales",0.035,0.175
"P10","A los candidatos de la izquierda",0.032,0.11
"P10","Otros candidatos",0.142,0.201
"P10","Votaría en blanco o anularía",0.132,0
"P11","Walter Enrique Acuña por el “Frente de Todos”",0.325,0.166
"P11","Guido Giana dentro de la interna “Juntos”",0.224,0.32
"P11","Ruben Eduardo Mobilio dentro de la interna por “Juntos”",0.061,0.035
"P11","Maico Müller dentro de la interna de “vamos con vos”",0.049,0.08
"P11","Anibal Regueiro por “Peronenses Primero”",0.034,0.151
"P11","Otro candidato",0.162,0.248
"P11","En blanco o anularía",0.145,0
"P19","Muy buena",0.367,0.221
"P19","Buena",0.118,0.237
"P19","Ni buena ni mala",0.166,0.175
"P19","Mala",0.075,0.12
"P19","Muy mala",0.266,0.149
"P19","No sabe",0.008,0.098
"P20","Muy buena",0.358,0.186
"P20","Buena",0.065,0.161
"P20","Ni buena ni mala",0.165,0.068
"P20","Mala",0.071,0.246
"P20","Muy mala",0.294,0.241
"P20","No sabe",0.047,0.098
"P21","Muy buena",0.174,0.104
"P21","Buena",0.049,0.019
"P21","Ni buena ni mala",0.15,0.13
"P21","Mala",0.193,0.269
"P21","Muy mala",0.413,0.478
"P21","No sabe",0.021,0
"P22","Muy buena",0.19,0.227
"P22","Buena",0.108,0.107
"P22","Ni buena ni mala",0.177,0.337
"P22","Mala",0.167,0.123
"P22","Muy mala",0.268,0.138
"P22","No sabe",0.09,0.068
