"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"Alberto Fernandez","Muy buena",0.341,0.281,0.406,0.28,0.324,0.516,0.294,0.445,0.288,0.205,0.502,0.024,0
"Alberto Fernandez","Buena",0.139,0.175,0.101,0.097,0.228,0.083,0,0.103,0.164,0.167,0.215,0.013,0
"Alberto Fernandez","Ni buena ni mala",0.167,0.168,0.167,0.216,0.135,0.109,0.255,0.168,0.184,0.103,0.195,0.1,0.218
"Alberto Fernandez","Mala",0.084,0.103,0.062,0.053,0.062,0.184,0.088,0.054,0.11,0.08,0.06,0.162,0.086
"Alberto Fernandez","Muy mala",0.245,0.269,0.219,0.292,0.242,0.108,0.363,0.191,0.238,0.44,0.028,0.701,0.696
"Alberto Fernandez","No sabe",0.024,0.004,0.045,0.062,0.009,0,0,0.039,0.016,0.005,0,0,0
"CFK","Muy buena",0.328,0.301,0.356,0.262,0.347,0.504,0.126,0.377,0.283,0.331,0.479,0.013,0
"CFK","Buena",0.082,0.08,0.083,0.055,0.129,0.055,0.017,0.076,0.075,0.125,0.127,0,0
"CFK","Ni buena ni mala",0.147,0.102,0.196,0.112,0.154,0.18,0.176,0.193,0.128,0.074,0.19,0.008,0.218
"CFK","Mala",0.102,0.162,0.038,0.195,0.064,0.041,0.062,0.035,0.174,0.056,0.099,0.105,0.288
"CFK","Muy mala",0.285,0.325,0.242,0.301,0.268,0.207,0.459,0.224,0.304,0.408,0.068,0.854,0.479
"CFK","No sabe",0.056,0.03,0.085,0.075,0.038,0.013,0.16,0.095,0.036,0.006,0.037,0.02,0.015
"Horacio Rodriguez Larreta","Muy buena",0.196,0.169,0.226,0.235,0.168,0.134,0.318,0.196,0.207,0.164,0.074,0.593,0.26
"Horacio Rodriguez Larreta","Buena",0.108,0.135,0.078,0.096,0.096,0.189,0.04,0.124,0.099,0.089,0.075,0.177,0.133
"Horacio Rodriguez Larreta","Ni buena ni mala",0.206,0.175,0.24,0.22,0.188,0.202,0.245,0.163,0.237,0.228,0.233,0.105,0.18
"Horacio Rodriguez Larreta","Mala",0.159,0.203,0.112,0.116,0.148,0.263,0.148,0.163,0.167,0.117,0.187,0.095,0.135
"Horacio Rodriguez Larreta","Muy mala",0.245,0.254,0.234,0.209,0.329,0.194,0.088,0.229,0.223,0.365,0.33,0.019,0.048
"Horacio Rodriguez Larreta","No sabe",0.086,0.064,0.11,0.124,0.071,0.018,0.161,0.125,0.067,0.037,0.101,0.011,0.244
"Mauricio Macri","Muy buena",0.161,0.135,0.19,0.203,0.15,0.071,0.25,0.238,0.115,0.091,0.078,0.431,0.25
"Mauricio Macri","Buena",0.044,0.054,0.033,0.007,0.037,0.125,0.041,0.029,0.043,0.088,0.015,0.165,0.043
"Mauricio Macri","Ni buena ni mala",0.147,0.162,0.13,0.163,0.154,0.094,0.163,0.084,0.199,0.154,0.122,0.249,0.051
"Mauricio Macri","Mala",0.207,0.197,0.217,0.195,0.224,0.273,0.035,0.232,0.196,0.17,0.25,0.071,0.174
"Mauricio Macri","Muy mala",0.424,0.452,0.394,0.419,0.408,0.437,0.489,0.389,0.434,0.497,0.517,0.073,0.482
"Mauricio Macri","No sabe",0.017,0,0.036,0.013,0.027,0,0.022,0.028,0.013,0,0.018,0.011,0
