"var","categoria","Toloza Paz por el Frente de todos","Diego Santilli dentro de la interna de Juntos por el cambio","Facundo Manes dentro de la interna de Juntos por el cambio","Florencio Randazzo por el frente ""Vamos con vos.""","José Luis Espert por los liberales","A los candidatos de la izquierda","Otros candidatos","Votaría en blanco o anularía"
"P05","Si",0.878,0.647,0.742,0.705,0.617,1,0.584,0.423
"P05","Puede ser",0.071,0.158,0.071,0.211,0.075,0,0.177,0.265
"P05","No",0.051,0.195,0.187,0.084,0.308,0,0.239,0.312
"P11","Walter Enrique Acuña por el “Frente de Todos”",0.993,0,0.02,0,0,0,0,0
"P11","Guido Giana dentro de la interna “Juntos”",0,0.989,0,0,0,0,0,0
"P11","Ruben Eduardo Mobilio dentro de la interna por “Juntos”",0,0.011,0.98,0,0,0,0,0
"P11","Maico Müller dentro de la interna de “vamos con vos”",0,0,0,1,0,0,0,0
"P11","Anibal Regueiro por “Peronenses Primero”",0.007,0,0,0,0,0,0,0
"P11","Otro candidato",0,0,0,0,1,0,1,0
"P11","En blanco o anularía",0,0,0,0,0,0,0,1
"P18","Si",0.914,0.816,0.908,0.782,0.505,0.599,0.782,1
"P18","No",0.086,0.184,0.092,0.218,0.495,0.401,0.218,0
"P19","Muy buena",0.612,0.188,0,0.505,0,0,0.321,0.181
"P19","Buena",0.174,0.056,0.027,0.25,0,0.986,0.11,0
"P19","Ni buena ni mala",0.176,0.128,0.198,0,0.066,0,0.129,0.532
"P19","Mala",0.031,0.144,0.108,0.094,0.094,0,0.132,0.091
"P19","Muy mala",0.007,0.484,0.667,0.151,0.56,0.014,0.259,0.19
"P19","No sabe",0,0,0,0,0.28,0,0.049,0.006
"P20","Muy buena",0.602,0.107,0.028,0.271,0,0,0.35,0.305
"P20","Buena",0.085,0.114,0,0.25,0.026,0.253,0.01,0
"P20","Ni buena ni mala",0.177,0.024,0,0.349,0.01,0,0.127,0.584
"P20","Mala",0.025,0.13,0.065,0,0.094,0.733,0.156,0.014
"P20","Muy mala",0.019,0.611,0.907,0.13,0.56,0.014,0.308,0.097
"P20","No sabe",0.092,0.014,0,0,0.31,0,0.049,0
"P21","Muy buena",0.009,0.423,0.215,0,0.075,0,0.215,0
"P21","Buena",0.001,0.129,0.178,0.055,0.03,0,0.011,0
"P21","Ni buena ni mala",0.058,0.221,0.325,0.113,0.043,0.361,0.205,0.179
"P21","Mala",0.216,0.176,0.078,0.21,0.248,0,0.187,0.424
"P21","Muy mala",0.681,0.04,0.204,0.622,0.604,0.639,0.355,0.397
"P21","No sabe",0.035,0.011,0,0,0,0,0.027,0
"P22","Muy buena",0.019,0.575,0.295,0,0.059,0,0.142,0.032
"P22","Buena",0.067,0.145,0.284,0.085,0.331,0.358,0.035,0
"P22","Ni buena ni mala",0.241,0.043,0.244,0.316,0.032,0.465,0.331,0.293
"P22","Mala",0.198,0.176,0.025,0.273,0.239,0.031,0.138,0.046
"P22","Muy mala",0.405,0.05,0.125,0.326,0.139,0.146,0.256,0.325
"P22","No sabe",0.07,0.011,0.027,0,0.2,0,0.098,0.304
