"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"Victoria Tolosa Paz para diputada nacional y Walter Enrique Acuña para concejal por el “Frente de todos”",0.298,0.364,0.235,0.203,0.337,0.39,0.282,0.269,0.309,0.345,0.429,0.031,0.122
"Diego Santilli para diputado nacional y Guido Giana para concejal por “Juntos”",0.187,0.176,0.197,0.117,0.207,0.165,0.36,0.22,0.163,0.174,0.108,0.587,0.102
"Facundo Manes para diputado nacional y Ruben Eduardo Mobilio para concejal por “Juntos”",0.043,0.036,0.048,0.03,0.05,0.073,0,0.033,0.038,0.083,0.008,0.173,0.126
"Florencio Randazzo para diputado nacional y Maico Müller para concejal por “Vamos con vos”",0.067,0.039,0.094,0.049,0.027,0.154,0.125,0.127,0.029,0.026,0.085,0.03,0.036
"A la lista de Anibal Regueiro para concejal por “Peronenses Primero”",0.058,0.046,0.069,0.06,0.053,0.029,0.115,0.055,0.058,0.062,0.037,0.065,0
"A la lista de José Luis Espert para diputado nacional por “Avanza Libertad”",0.037,0.071,0.005,0.07,0.032,0.005,0.014,0.014,0.049,0.063,0.003,0.038,0.426
"A los candidatos de la izquierda",0.044,0.077,0.013,0.097,0.034,0,0,0,0.09,0.016,0.067,0,0
"Otros Candidatos",0.094,0.055,0.133,0.085,0.111,0.096,0.056,0.11,0.089,0.069,0.099,0.01,0.148
"En blanco o anularía",0.072,0.039,0.104,0.092,0.079,0.065,0,0.087,0.056,0.087,0.071,0,0
"Cortaría Boleta",0.1,0.097,0.102,0.197,0.07,0.023,0.048,0.085,0.119,0.075,0.093,0.066,0.04
