"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Katopodis","López Medrano","García","La Spina","Suarez"
"Si",0.458,0.475,0.443,0.369,0.497,0.43,0.482,0.481,0.43,0.478,0.512,0.483,0.156,0.407,0.173
"No",0.542,0.525,0.557,0.631,0.503,0.57,0.518,0.519,0.57,0.522,0.488,0.517,0.844,0.593,0.827
