"var","categoria","Tiene Decidido que va a ir a votar","Tiene dudas sobre si va a ir a  votar","Tiene Decidido que no va a ir a votar"
"P06","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.313,0.402,0.233
"P06","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.546,0.321,0.198
"P06","En blanco",0.094,0.119,0.412
"P06","Aun no tengo decidido mi voto",0.047,0.158,0.157
"P08","Totalmente seguro",0.698,0.19,0.26
"P08","Bastante seguro",0.153,0.305,0.095
"P08","Algo seguro",0.082,0.124,0.445
"P08","Para nada seguro",0.067,0.381,0.2
"P10","Lo votaría",0.339,0.201,0.065
"P10","Puede que lo vote",0.064,0.397,0.115
"P10","Nunca lo votaría",0.565,0.324,0.767
"P10","No sabe",0.032,0.078,0.053
"P11","Lo votaría",0.465,0.161,0.223
"P11","Puede que lo vote",0.124,0.38,0.182
"P11","Nunca lo votaría",0.389,0.346,0.5
"P11","No sabe",0.022,0.113,0.095
"P12","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.422,0.665,0.202
"P12","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.578,0.335,0.798
"P14","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.406,0.015,0.007
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.159,0.092,0.029
"P14","En blanco",0.435,0.893,0.964
