"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.318,0.337,0.301,0.428,0.37,0.245,0.21,0.369,0.314,0.275,0.315,0.388,0.237,0.3
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.5,0.489,0.511,0.419,0.468,0.542,0.585,0.461,0.505,0.533,0.494,0.44,0.653,0.512
"En blanco",0.114,0.12,0.108,0.094,0.112,0.122,0.124,0.112,0.109,0.121,0.126,0.12,0.082,0.105
"Aun no tengo decidido mi voto",0.068,0.054,0.08,0.059,0.05,0.091,0.081,0.058,0.072,0.071,0.065,0.052,0.028,0.083
