"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco"
"P08","Totalmente seguro",0.297,0.032,0.01
"P08","Bastante seguro",0.006,0.399,0.001
"P08","Algo seguro",0.275,0.128,0.138
"P08","Para nada seguro",0.422,0.441,0.851
"P09","Tiene Decidido que va a ir a votar",0.983,0.795,0.454
"P09","Tiene dudas sobre si va a ir a  votar",0.014,0.179,0.363
"P09","Tiene Decidido que no va a ir a votar",0.003,0.026,0.183
"P10","Lo votaría",0.155,0,0.003
"P10","Puede que lo vote",0.826,0.032,0.413
"P10","Nunca lo votaría",0,0.922,0.474
"P10","No sabe",0.019,0.046,0.11
"P11","Lo votaría",0.003,0.026,0
"P11","Puede que lo vote",0.464,0.851,0.416
"P11","Nunca lo votaría",0.52,0.026,0.402
"P11","No sabe",0.013,0.097,0.182
