"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe"
"P08","Inflación",0.203,0.363,0.366,0.343,0.337,0.252
"P08","Desempleo",0.108,0.122,0.098,0.096,0.051,0.084
"P08","Corrupción",0.231,0.149,0.186,0.262,0.367,0.15
"P08","Inseguridad",0.182,0.112,0.099,0.107,0.103,0.079
"P08","Precio del dólar",0.058,0.029,0.061,0.028,0.029,0.05
"P08","Pobreza",0.069,0.097,0.08,0.083,0.042,0.153
"P08","Narcotráfico",0.017,0.036,0.013,0.02,0.017,0.017
"P08","Tarifas",0.021,0.003,0.024,0.006,0.006,0.05
"P08","Otro",0.083,0.065,0.052,0.049,0.039,0.047
"P08","No sabe",0.028,0.024,0.021,0.006,0.009,0.118
"P12","Sin deuda",0.357,0.329,0.333,0.269,0.273,0.165
"P12","Menos de 10%",0.191,0.202,0.149,0.146,0.157,0.084
"P12","Entre 10 y 20%",0.15,0.186,0.16,0.147,0.131,0.216
"P12","Entre 20 y 30%",0.062,0.059,0.109,0.122,0.082,0.089
"P12","Entre 30 y 40%",0.048,0.064,0.077,0.103,0.094,0.061
"P12","Mas del 40%",0.144,0.112,0.1,0.187,0.221,0.171
"P12","No sabe",0.048,0.048,0.072,0.026,0.042,0.214
"P13","Gran excedente habitual",0.006,0.013,0.006,0.006,0.009,0.054
"P13","Gran excedente excepcional",0,0.014,0.009,0.009,0.01,0.006
"P13","Pequeño excedente habitual",0.05,0.08,0.067,0.07,0.066,0.051
"P13","Pequeño excedente excepcional",0.035,0.095,0.047,0.05,0.063,0.022
"P13","Alcanza gastos familia",0.076,0.129,0.144,0.125,0.128,0.023
"P13","No alcanza gastos familia",0.15,0.119,0.172,0.158,0.157,0.16
"P13","Solo NBFamiliares",0.206,0.262,0.275,0.238,0.241,0.357
"P13","No alcanza NBFamiliares",0.466,0.264,0.268,0.328,0.313,0.242
"P13","No sabe",0.011,0.024,0.012,0.016,0.013,0.085
"P14","Muy buena",0.147,0.042,0.042,0.041,0.049,0.004
"P14","Buena",0.155,0.253,0.148,0.153,0.128,0.161
"P14","Ni buena ni mala",0.314,0.414,0.519,0.412,0.376,0.375
"P14","Mala",0.194,0.212,0.211,0.286,0.292,0.186
"P14","Muy mala",0.16,0.068,0.072,0.089,0.134,0.207
"P14","No sabe",0.03,0.011,0.008,0.019,0.021,0.067
"P15","Mejor",0.191,0.162,0.132,0.092,0.055,0.214
"P15","Igual",0.309,0.432,0.372,0.237,0.103,0.077
