"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","opciones"
"Muy buena",0.051,0.058,0.046,0.071,0.043,0.041,0.055,0.068,0.038,0.051,0.049,0.045,0.086,0.058,0.054,0.033,0.048,6
"Buena",0.141,0.155,0.127,0.129,0.118,0.179,0.162,0.103,0.126,0.21,0.164,0.143,0.166,0.15,0.103,0.164,0.148,6
"Ni buena ni mala",0.409,0.413,0.406,0.393,0.395,0.407,0.473,0.373,0.419,0.44,0.409,0.429,0.394,0.417,0.387,0.431,0.41,6
"Mala",0.26,0.236,0.282,0.233,0.3,0.256,0.212,0.294,0.283,0.181,0.259,0.259,0.224,0.227,0.302,0.268,0.266,6
"Muy mala",0.116,0.117,0.116,0.145,0.122,0.097,0.082,0.134,0.117,0.093,0.105,0.107,0.093,0.118,0.135,0.103,0.108,6
"No sabe",0.023,0.021,0.023,0.029,0.022,0.02,0.016,0.028,0.017,0.025,0.014,0.017,0.037,0.03,0.019,0.001,0.02,6
"Positiva",0.192,0.213,0.173,0.2,0.161,0.22,0.217,0.171,0.164,0.261,0.213,0.188,0.252,0.208,0.157,0.197,0.196,4
"Neutra",0.409,0.413,0.406,0.393,0.395,0.407,0.473,0.373,0.419,0.44,0.409,0.429,0.394,0.417,0.387,0.431,0.41,4
"Negativa",0.376,0.353,0.398,0.378,0.422,0.353,0.294,0.428,0.4,0.274,0.364,0.366,0.317,0.345,0.437,0.371,0.374,4
"No sabe",0.023,0.021,0.023,0.029,0.022,0.02,0.016,0.028,0.017,0.025,0.014,0.017,0.037,0.03,0.019,0.001,0.02,4
