"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires"
"Patricia Bullrich","Positiva",0.476,0.498,0.454,0.396,0.428,0.537,0.619,0.414,0.484,0.534,0.167,0.825,0.467,0.504,0.484,0.444,0.452
"Patricia Bullrich","Negativa",0.486,0.471,0.501,0.534,0.542,0.436,0.354,0.525,0.48,0.45,0.798,0.162,0.472,0.449,0.469,0.521,0.52
"Patricia Bullrich","No sabe",0.038,0.031,0.045,0.07,0.03,0.027,0.027,0.061,0.036,0.016,0.035,0.013,0.061,0.047,0.047,0.035,0.028
"Maria Eugenia Vidal","Positiva",0.394,0.387,0.401,0.281,0.331,0.488,0.588,0.362,0.38,0.452,0.169,0.683,0.408,0.397,0.422,0.284,0.394
"Maria Eugenia Vidal","Negativa",0.564,0.582,0.547,0.638,0.633,0.494,0.383,0.574,0.579,0.53,0.794,0.29,0.526,0.535,0.537,0.657,0.588
"Maria Eugenia Vidal","No sabe",0.042,0.031,0.052,0.081,0.036,0.018,0.029,0.064,0.041,0.018,0.037,0.027,0.066,0.068,0.041,0.059,0.018
"Mauricio Macri","Positiva",0.392,0.38,0.403,0.332,0.338,0.435,0.55,0.35,0.377,0.464,0.122,0.753,0.355,0.419,0.401,0.333,0.373
"Mauricio Macri","Negativa",0.59,0.604,0.578,0.638,0.648,0.556,0.431,0.619,0.609,0.528,0.873,0.232,0.613,0.556,0.585,0.642,0.615
"Mauricio Macri","No sabe",0.018,0.016,0.019,0.03,0.014,0.009,0.019,0.031,0.014,0.008,0.005,0.015,0.032,0.025,0.014,0.025,0.012
"Javier Milei","Positiva",0.387,0.476,0.3,0.432,0.398,0.362,0.328,0.402,0.389,0.365,0.219,0.524,0.399,0.411,0.415,0.334,0.361
"Javier Milei","Negativa",0.567,0.492,0.639,0.51,0.556,0.609,0.618,0.533,0.559,0.618,0.734,0.448,0.494,0.539,0.535,0.632,0.596
