"var","categoria","Gran excedente habitual","Gran excedente excepcional","Pequeño excedente habitual","Pequeño excedente excepcional","Alcanza gastos familia","No alcanza gastos familia","Solo NBFamiliares","No alcanza NBFamiliares","No sabe"
"P08","Inflación",0.331,0.239,0.349,0.291,0.381,0.329,0.36,0.3,0.197
"P08","Desempleo",0.13,0.192,0.071,0.04,0.084,0.08,0.079,0.1,0.046
"P08","Corrupción",0.229,0.156,0.228,0.271,0.273,0.272,0.274,0.283,0.243
"P08","Inseguridad",0.024,0.061,0.121,0.118,0.092,0.112,0.126,0.112,0.103
"P08","Precio del dólar",0.15,0.049,0.023,0.048,0.026,0.039,0.029,0.037,0.037
"P08","Pobreza",0.025,0.12,0.094,0.126,0.058,0.074,0.044,0.078,0.143
"P08","Narcotráfico",0.031,0.04,0.024,0.017,0.017,0.022,0.017,0.024,0.06
"P08","Tarifas",0.022,0.051,0.004,0.011,0.009,0.009,0.011,0.014,0.03
"P08","Otro",0.058,0.024,0.057,0.057,0.048,0.045,0.04,0.038,0.083
"P08","No sabe",0,0.068,0.029,0.021,0.012,0.018,0.02,0.014,0.058
"P12","Sin deuda",0.583,0.177,0.407,0.438,0.439,0.166,0.254,0.296,0.277
"P12","Menos de 10%",0.104,0.014,0.105,0.138,0.154,0.12,0.275,0.093,0.034
"P12","Entre 10 y 20%",0.024,0,0.054,0.097,0.128,0.287,0.153,0.12,0.049
"P12","Entre 20 y 30%",0.038,0,0.036,0.074,0.154,0.097,0.094,0.092,0.042
"P12","Entre 30 y 40%",0.046,0,0.013,0.184,0.056,0.101,0.083,0.102,0.035
"P12","Mas del 40%",0.205,0.023,0.376,0.056,0.053,0.186,0.104,0.244,0.12
"P12","No sabe",0,0.786,0.009,0.013,0.016,0.043,0.037,0.053,0.443
"P14","Muy buena",0.401,0.116,0.086,0.071,0.025,0.014,0.015,0.085,0.027
"P14","Buena",0.246,0.114,0.327,0.308,0.259,0.057,0.154,0.06,0.173
"P14","Ni buena ni mala",0.139,0.354,0.25,0.455,0.54,0.463,0.532,0.281,0.371
"P14","Mala",0.024,0.153,0.108,0.075,0.145,0.296,0.248,0.373,0.103
"P14","Muy mala",0.164,0.141,0.135,0.08,0.021,0.15,0.041,0.19,0.12
"P14","No sabe",0.026,0.122,0.094,0.011,0.01,0.02,0.01,0.011,0.206
"P15","Mejor",0.382,0.119,0.188,0.186,0.116,0.086,0.088,0.078,0.102
"P15","Igual",0.243,0.222,0.29,0.354,0.369,0.166,0.273,0.143,0.161
"P15","Peor",0.375,0.445,0.466,0.404,0.462,0.688,0.608,0.73,0.493
"P15","No sabe",0,0.214,0.056,0.056,0.053,0.06,0.031,0.049,0.244
"P16","Mejor",0.217,0.12,0.158,0.149,0.096,0.112,0.08,0.073,0.056
"P16","Igual",0.172,0.167,0.277,0.286,0.318,0.183,0.25,0.192,0.159
"P16","Peor",0.454,0.502,0.474,0.467,0.423,0.553,0.51,0.579,0.382
"P16","No sabe",0.157,0.211,0.091,0.098,0.163,0.152,0.16,0.156,0.403
"P17","Muy buena",0.145,0.168,0.079,0.133,0.044,0.05,0.054,0.082,0.103
"P17","Buena",0.058,0.126,0.087,0.067,0.075,0.033,0.07,0.064,0.013
"P17","Ni buena ni mala",0.117,0.102,0.135,0.14,0.204,0.12,0.146,0.122,0.059
"P17","Mala",0.19,0.314,0.268,0.26,0.284,0.27,0.296,0.289,0.223
"P17","Muy mala",0.412,0.264,0.413,0.39,0.384,0.5,0.41,0.425,0.425
"P17","No sabe",0.078,0.026,0.018,0.01,0.009,0.027,0.024,0.018,0.177
"P18","Mejor",0.2,0.118,0.101,0.099,0.08,0.062,0.062,0.051,0.103
"P18","Igual",0.077,0.192,0.19,0.238,0.253,0.139,0.18,0.109,0.142
"P18","Peor",0.668,0.557,0.614,0.641,0.624,0.743,0.697,0.762,0.552
"P18","No sabe",0.055,0.133,0.095,0.022,0.043,0.056,0.061,0.078,0.203
"P19","Mejor",0.218,0.117,0.135,0.108,0.113,0.097,0.077,0.049,0.031
"P19","Igual",0.064,0.118,0.222,0.246,0.239,0.166,0.219,0.151,0.081
"P19","Peor",0.613,0.53,0.564,0.537,0.561,0.621,0.587,0.669,0.424
"P19","No sabe",0.105,0.235,0.079,0.109,0.087,0.116,0.117,0.131,0.464
"P20","Muy buena",0.058,0.219,0.115,0.065,0.074,0.08,0.047,0.102,0.159
"P20","Buena",0.07,0.042,0.129,0.082,0.111,0.076,0.092,0.066,0.059
"P20","Ni buena ni mala",0.274,0.17,0.167,0.204,0.207,0.171,0.211,0.166,0.183
"P20","Mala",0.112,0.098,0.182,0.183,0.189,0.193,0.207,0.209,0.117
"P20","Muy mala",0.478,0.333,0.4,0.466,0.407,0.451,0.422,0.426,0.284
"P20","No sabe",0.008,0.138,0.007,0,0.012,0.029,0.021,0.031,0.198
"P22","Muy buena",0.073,0.112,0.053,0.019,0.025,0.024,0.019,0.064,0.09
"P22","Buena",0.104,0,0.083,0.097,0.109,0.048,0.069,0.048,0.037
"P22","Ni buena ni mala",0.19,0.279,0.175,0.194,0.206,0.146,0.191,0.165,0.171
"P22","Mala",0.087,0.151,0.201,0.165,0.202,0.275,0.254,0.223,0.199
"P22","Muy mala",0.537,0.407,0.461,0.503,0.445,0.478,0.419,0.459,0.339
"P22","No sabe",0.009,0.051,0.027,0.022,0.013,0.029,0.048,0.041,0.164
"P23","Muy buena",0.106,0.093,0.06,0.07,0.056,0.017,0.045,0.065,0.028
"P23","Buena",0.086,0,0.165,0.128,0.16,0.119,0.095,0.076,0.118
"P23","Ni buena ni mala",0.188,0.203,0.168,0.18,0.194,0.18,0.218,0.179,0.169
"P23","Mala",0.128,0.157,0.172,0.184,0.208,0.237,0.244,0.212,0.189
"P23","Muy mala",0.483,0.398,0.404,0.429,0.366,0.407,0.366,0.428,0.281
"P23","No sabe",0.009,0.149,0.031,0.009,0.016,0.04,0.032,0.04,0.215
"P24","Muy buena",0.052,0.063,0.055,0.008,0.021,0.008,0.014,0.048,0.046
"P24","Buena",0.035,0.04,0.101,0.112,0.107,0.062,0.06,0.066,0.028
"P24","Ni buena ni mala",0.134,0.128,0.217,0.19,0.209,0.113,0.192,0.128,0.171
"P24","Mala",0.232,0.174,0.168,0.172,0.183,0.233,0.256,0.21,0.155
"P24","Muy mala",0.515,0.461,0.424,0.494,0.46,0.56,0.463,0.516,0.316
"P24","No sabe",0.032,0.134,0.035,0.024,0.02,0.024,0.015,0.032,0.284
"P25","Frente de Todos y el peronismo",0.173,0.141,0.334,0.274,0.319,0.198,0.235,0.205,0.102
"P25","Cambiemos",0.245,0.13,0.19,0.242,0.255,0.252,0.269,0.221,0.097
"P25","Liberales",0.45,0.248,0.202,0.249,0.196,0.189,0.216,0.194,0.252
"P25","Izquierda",0.004,0.192,0.058,0.073,0.037,0.056,0.061,0.079,0.012
"P25","No sabe",0.128,0.289,0.216,0.162,0.193,0.305,0.219,0.301,0.537
"P28","A Daniel Scioli",0.298,0.19,0.162,0.124,0.069,0.113,0.096,0.253,0
"P28","A Sergio Massa",0,0.028,0.312,0.196,0.283,0.264,0.26,0.259,0.234
"P28","A algún candidato del peronismo",0.222,0.2,0.088,0.087,0.178,0.156,0.177,0.167,0.167
"P28","A algún candidato del kirchnerismo",0.48,0.582,0.438,0.593,0.47,0.467,0.467,0.321,0.599
"P30","A Daniel Scioli",0.056,0.026,0.136,0.117,0.067,0.139,0.094,0.188,0
"P30","A Sergio Massa",0,0.134,0.209,0.183,0.172,0.195,0.144,0.172,0.157
"P30","A algún candidato del peronismo",0.17,0.103,0.128,0.158,0.183,0.12,0.107,0.151,0.309
"P30","A Cristina Fernández de Kirchner",0.774,0.737,0.527,0.542,0.578,0.546,0.655,0.489,0.534
"P31","A Horacio Rodriguez Larreta",0.178,0.188,0.487,0.33,0.173,0.31,0.271,0.273,0.233
"P31","A Patricia Bullrich",0.665,0.52,0.446,0.552,0.696,0.609,0.596,0.583,0.688
"P31","A Facundo Manes",0,0,0.038,0.096,0.074,0.02,0.1,0.078,0.048
"P31","A Gerardo Morales",0.157,0.292,0.029,0.022,0.057,0.061,0.033,0.066,0.031
"P39","La votaría",0.258,0.219,0.254,0.247,0.269,0.259,0.293,0.292,0.17
"P39","Puede que la vote",0.011,0.081,0.117,0.195,0.174,0.132,0.164,0.14,0.082
"P39","Nunca la votaría",0.521,0.535,0.532,0.491,0.467,0.428,0.409,0.401,0.419
"P39","No sabe",0.21,0.165,0.097,0.067,0.09,0.181,0.134,0.167,0.329
"P40","Lo votaría",0.137,0.17,0.161,0.149,0.132,0.121,0.125,0.155,0.135
"P40","Puede que lo vote",0.111,0.153,0.219,0.23,0.203,0.173,0.179,0.144,0.053
"P40","Nunca lo votaría",0.736,0.555,0.527,0.569,0.575,0.554,0.587,0.569,0.486
"P40","No sabe",0.016,0.122,0.093,0.052,0.09,0.152,0.109,0.132,0.326
