"var","categoria","A Daniel Scioli","A Sergio Massa","A algún candidato del peronismo","A Cristina Fernández de Kirchner"
"P50","Mala",0.179,0.053,0.206,0.112
"P50","Muy mala",0.032,0.002,0.098,0.057
"P50","No sabe",0,0,0.008,0.027
"P51","Muy buena",0.024,0.099,0.023,0.015
"P51","Buena",0.049,0.046,0.054,0.022
"P51","Ni buena ni mala",0.249,0.178,0.285,0.073
"P51","Mala",0.373,0.401,0.199,0.291
"P51","Muy mala",0.293,0.261,0.407,0.564
"P51","No sabe",0.012,0.015,0.032,0.035
"P52","Muy buena",0.35,0.459,0.33,0.588
"P52","Buena",0.355,0.276,0.249,0.192
"P52","Ni buena ni mala",0.238,0.131,0.186,0.126
"P52","Mala",0.043,0.105,0.105,0.025
"P52","Muy mala",0.014,0.02,0.066,0.039
"P52","No sabe",0,0.009,0.064,0.03
"P54","Muy buena",0.476,0.17,0.056,0.089
"P54","Buena",0.294,0.4,0.294,0.251
"P54","Ni buena ni mala",0.227,0.339,0.525,0.444
"P54","Mala",0.003,0.086,0.077,0.115
"P54","Muy mala",0,0.005,0.037,0.054
"P54","No sabe",0,0,0.011,0.047
"P57","Muy buena",0.149,0.063,0.005,0.02
"P57","Buena",0.05,0.074,0.047,0.023
"P57","Ni buena ni mala",0.27,0.091,0.207,0.076
"P57","Mala",0.149,0.269,0.244,0.188
"P57","Muy mala",0.379,0.46,0.483,0.648
"P57","No sabe",0.003,0.043,0.014,0.045
"P58","Muy buena",0.034,0.005,0.002,0.006
"P58","Buena",0.032,0.044,0,0.021
"P58","Ni buena ni mala",0.227,0.107,0.124,0.045
"P58","Mala",0.276,0.3,0.174,0.188
"P58","Muy mala",0.428,0.493,0.653,0.714
"P58","No sabe",0.003,0.051,0.047,0.026
"P59","Muy buena",0.1,0.023,0.045,0.013
"P59","Buena",0.106,0.144,0.115,0.066
"P59","Ni buena ni mala",0.435,0.345,0.305,0.349
"P59","Mala",0.144,0.218,0.148,0.184
"P59","Muy mala",0.131,0.098,0.151,0.252
"P59","No sabe",0.084,0.172,0.236,0.136
"P60","Muy buena",0.36,0.288,0.294,0.45
"P60","Buena",0.224,0.266,0.156,0.183
"P60","Ni buena ni mala",0.249,0.219,0.295,0.202
"P60","Mala",0.041,0.121,0.08,0.029
"P60","Muy mala",0.076,0.006,0.025,0.042
"P60","No sabe",0.05,0.1,0.15,0.094
"P61","Muy buena",0.173,0.27,0.098,0.395
"P61","Buena",0.335,0.237,0.278,0.277
"P61","Ni buena ni mala",0.282,0.311,0.373,0.225
