"var","categoria","Sin deuda","Menos de 10%","Entre 10 y 20%","Entre 20 y 30%","Entre 30 y 40%","Mas del 40%","No sabe"
"P08","Inflación",0.337,0.348,0.318,0.357,0.313,0.327,0.197
"P08","Desempleo",0.089,0.085,0.115,0.074,0.074,0.062,0.079
"P08","Corrupción",0.251,0.264,0.312,0.254,0.316,0.279,0.238
"P08","Inseguridad",0.108,0.151,0.101,0.109,0.129,0.097,0.082
"P08","Precio del dólar",0.035,0.019,0.02,0.038,0.056,0.03,0.07
"P08","Pobreza",0.081,0.044,0.066,0.064,0.054,0.084,0.14
"P08","Narcotráfico",0.021,0.021,0.012,0.021,0.007,0.028,0.069
"P08","Tarifas",0.01,0.009,0.009,0.015,0.012,0.016,0.012
"P08","Otro",0.055,0.036,0.033,0.048,0.023,0.057,0.047
"P08","No sabe",0.013,0.023,0.014,0.02,0.016,0.02,0.066
"P13","Gran excedente habitual",0.018,0.007,0.002,0.004,0.005,0.011,0
"P13","Gran excedente excepcional",0.006,0.001,0,0,0,0.001,0.156
"P13","Pequeño excedente habitual",0.084,0.043,0.023,0.023,0.009,0.136,0.01
"P13","Pequeño excedente excepcional",0.081,0.051,0.037,0.044,0.115,0.018,0.013
"P13","Alcanza gastos familia",0.177,0.124,0.106,0.198,0.077,0.037,0.036
"P13","No alcanza gastos familia",0.086,0.123,0.302,0.159,0.177,0.167,0.123
"P13","Solo NBFamiliares",0.204,0.442,0.253,0.24,0.226,0.146,0.167
"P13","No alcanza NBFamiliares",0.325,0.204,0.27,0.323,0.383,0.469,0.325
"P13","No sabe",0.019,0.005,0.007,0.009,0.008,0.015,0.17
"P14","Muy buena",0.09,0.037,0.033,0.022,0.024,0.049,0.036
"P14","Buena",0.251,0.182,0.084,0.109,0.062,0.05,0.044
"P14","Ni buena ni mala",0.449,0.531,0.509,0.429,0.365,0.169,0.383
"P14","Mala",0.139,0.204,0.298,0.324,0.336,0.412,0.256
"P14","Muy mala",0.049,0.035,0.065,0.101,0.196,0.292,0.185
"P14","No sabe",0.022,0.011,0.011,0.015,0.017,0.028,0.096
"P15","Mejor",0.142,0.116,0.08,0.103,0.078,0.066,0.071
"P15","Igual",0.304,0.32,0.216,0.196,0.171,0.108,0.106
"P15","Peor",0.516,0.517,0.676,0.592,0.7,0.778,0.689
"P15","No sabe",0.038,0.047,0.028,0.109,0.051,0.048,0.134
"P16","Mejor",0.107,0.106,0.098,0.127,0.092,0.048,0.075
"P16","Igual",0.302,0.272,0.25,0.182,0.144,0.146,0.141
"P16","Peor",0.437,0.453,0.506,0.537,0.593,0.705,0.482
"P16","No sabe",0.154,0.169,0.146,0.154,0.171,0.101,0.302
"P17","Muy buena",0.075,0.073,0.058,0.056,0.086,0.071,0.065
"P17","Buena",0.091,0.089,0.062,0.05,0.028,0.029,0.026
"P17","Ni buena ni mala",0.163,0.174,0.184,0.14,0.075,0.064,0.107
"P17","Mala",0.296,0.276,0.343,0.34,0.29,0.186,0.25
"P17","Muy mala",0.346,0.371,0.347,0.395,0.506,0.639,0.433
"P17","No sabe",0.029,0.017,0.006,0.019,0.015,0.011,0.119
"P18","Mejor",0.084,0.068,0.063,0.074,0.066,0.041,0.066
"P18","Igual",0.205,0.206,0.153,0.154,0.12,0.095,0.118
"P18","Peor",0.638,0.668,0.722,0.703,0.772,0.803,0.687
"P18","No sabe",0.073,0.058,0.062,0.069,0.042,0.061,0.129
"P19","Mejor",0.104,0.085,0.072,0.109,0.082,0.046,0.035
"P19","Igual",0.22,0.225,0.225,0.169,0.132,0.127,0.121
"P19","Peor",0.564,0.569,0.6,0.6,0.635,0.742,0.525
"P19","No sabe",0.112,0.121,0.103,0.122,0.151,0.085,0.319
"P20","Muy buena",0.095,0.069,0.067,0.076,0.057,0.101,0.082
"P20","Buena",0.104,0.116,0.093,0.066,0.069,0.045,0.04
"P20","Ni buena ni mala",0.225,0.2,0.227,0.187,0.169,0.083,0.175
"P20","Mala",0.174,0.207,0.23,0.238,0.214,0.173,0.176
"P20","Muy mala",0.38,0.397,0.36,0.401,0.474,0.584,0.381
"P20","No sabe",0.022,0.011,0.023,0.032,0.017,0.014,0.146
"P22","Muy buena",0.042,0.042,0.03,0.034,0.024,0.056,0.027
"P22","Buena",0.1,0.073,0.063,0.034,0.051,0.032,0.044
