"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires"
"Mejor",0.082,0.091,0.073,0.05,0.079,0.099,0.113,0.097,0.073,0.077,0.127,0.044,0.068,0.071,0.072,0.071,0.096
"Igual",0.188,0.191,0.185,0.176,0.177,0.195,0.223,0.206,0.18,0.178,0.265,0.123,0.185,0.164,0.221,0.218,0.188
"Peor",0.608,0.628,0.589,0.63,0.627,0.581,0.567,0.549,0.625,0.654,0.449,0.758,0.704,0.648,0.575,0.559,0.597
"No sabe",0.122,0.09,0.153,0.144,0.117,0.125,0.097,0.148,0.122,0.091,0.159,0.075,0.043,0.117,0.132,0.152,0.119
