"var","categoria","A Horacio Rodriguez Larreta","A Patricia Bullrich","A Facundo Manes","A Gerardo Morales"
"P08","Inflación",0.29,0.328,0.232,0.297
"P08","Desempleo",0.085,0.061,0.156,0.053
"P08","Corrupción",0.315,0.41,0.322,0.268
"P08","Inseguridad",0.103,0.109,0.135,0.199
"P08","Precio del dólar",0.059,0.03,0,0.008
"P08","Pobreza",0.079,0.023,0.114,0.099
"P08","Narcotráfico",0.007,0.019,0.01,0
"P08","Tarifas",0.019,0.004,0.014,0
"P08","Otro",0.033,0.014,0.011,0.063
"P08","No sabe",0.01,0.002,0.006,0.013
"P12","Sin deuda",0.305,0.311,0.297,0.212
"P12","Menos de 10%",0.123,0.203,0.227,0.117
"P12","Entre 10 y 20%",0.154,0.139,0.17,0.172
"P12","Entre 20 y 30%",0.103,0.089,0.106,0.096
"P12","Entre 30 y 40%",0.111,0.078,0.111,0.082
"P12","Mas del 40%",0.196,0.148,0.089,0.31
"P12","No sabe",0.008,0.032,0,0.011
"P13","Gran excedente habitual",0.007,0.012,0,0.033
"P13","Gran excedente excepcional",0.001,0.001,0,0.006
"P13","Pequeño excedente habitual",0.083,0.035,0.025,0.027
"P13","Pequeño excedente excepcional",0.073,0.057,0.083,0.026
"P13","Alcanza gastos familia",0.078,0.147,0.132,0.138
"P13","No alcanza gastos familia",0.197,0.18,0.049,0.211
"P13","Solo NBFamiliares",0.271,0.277,0.389,0.181
"P13","No alcanza NBFamiliares",0.285,0.284,0.318,0.374
"P13","No sabe",0.005,0.007,0.004,0.004
"P14","Muy buena",0.058,0.051,0.184,0.058
"P14","Buena",0.115,0.141,0.208,0.073
"P14","Ni buena ni mala",0.426,0.431,0.276,0.323
"P14","Mala",0.277,0.269,0.242,0.345
"P14","Muy mala",0.113,0.089,0.09,0.171
"P14","No sabe",0.011,0.019,0,0.03
"P15","Mejor",0.097,0.052,0.116,0.035
"P15","Igual",0.123,0.117,0.175,0.151
"P15","Peor",0.712,0.802,0.701,0.74
"P15","No sabe",0.068,0.029,0.008,0.074
"P16","Mejor",0.104,0.04,0.12,0.074
"P16","Igual",0.186,0.156,0.383,0.116
"P16","Peor",0.571,0.691,0.451,0.685
"P16","No sabe",0.139,0.113,0.046,0.125
"P17","Muy buena",0.149,0.047,0.093,0.049
"P17","Buena",0.061,0.036,0.134,0.03
