"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","opciones"
"Muy buena",0.132,0.122,0.141,0.117,0.119,0.182,0.118,0.128,0.125,0.148,0.27,0.033,0.075,0.094,0.106,0.13,0.176,6
"Buena",0.092,0.094,0.09,0.058,0.096,0.097,0.124,0.092,0.09,0.094,0.135,0.048,0.125,0.087,0.075,0.087,0.104,6
"Ni buena ni mala",0.236,0.224,0.248,0.239,0.257,0.212,0.218,0.254,0.236,0.216,0.264,0.198,0.271,0.219,0.3,0.257,0.219,6
"Mala",0.14,0.154,0.127,0.125,0.129,0.15,0.174,0.143,0.141,0.135,0.083,0.185,0.174,0.138,0.136,0.13,0.145,6
"Muy mala",0.267,0.3,0.235,0.237,0.273,0.289,0.266,0.215,0.264,0.332,0.122,0.424,0.209,0.31,0.222,0.282,0.249,6
"No sabe",0.133,0.106,0.159,0.224,0.126,0.07,0.1,0.168,0.144,0.075,0.126,0.112,0.146,0.152,0.161,0.114,0.107,6
"Positiva",0.224,0.216,0.231,0.175,0.215,0.279,0.242,0.22,0.215,0.242,0.405,0.081,0.2,0.181,0.181,0.217,0.28,4
"Neutra",0.236,0.224,0.248,0.239,0.257,0.212,0.218,0.254,0.236,0.216,0.264,0.198,0.271,0.219,0.3,0.257,0.219,4
"Negativa",0.407,0.454,0.362,0.362,0.402,0.439,0.44,0.358,0.405,0.467,0.205,0.609,0.383,0.448,0.358,0.412,0.394,4
"No sabe",0.133,0.106,0.159,0.224,0.126,0.07,0.1,0.168,0.144,0.075,0.126,0.112,0.146,0.152,0.161,0.114,0.107,4
"Positiva",0.329,0.313,0.344,0.303,0.329,0.372,0.308,0.348,0.324,0.314,0.579,0.109,0.295,0.257,0.332,0.371,0.381,2
"Negativa",0.538,0.582,0.496,0.473,0.545,0.558,0.592,0.484,0.532,0.611,0.295,0.779,0.56,0.591,0.507,0.515,0.511,2
"No sabe",0.133,0.105,0.16,0.224,0.126,0.07,0.1,0.168,0.144,0.075,0.126,0.112,0.145,0.152,0.161,0.114,0.108,2
