"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","opciones"
"Muy buena",0.154,0.141,0.165,0.13,0.14,0.196,0.164,0.157,0.145,0.162,0.33,0.029,0.11,0.115,0.081,0.177,0.216,6
"Buena",0.097,0.092,0.101,0.106,0.096,0.102,0.077,0.111,0.098,0.076,0.169,0.037,0.061,0.065,0.117,0.123,0.11,6
"Ni buena ni mala",0.152,0.133,0.17,0.216,0.141,0.128,0.116,0.19,0.151,0.108,0.194,0.081,0.197,0.144,0.207,0.139,0.135,6
"Mala",0.121,0.119,0.124,0.113,0.123,0.103,0.153,0.131,0.122,0.11,0.095,0.134,0.147,0.111,0.161,0.111,0.114,6
"Muy mala",0.435,0.479,0.394,0.368,0.456,0.458,0.458,0.339,0.448,0.531,0.171,0.694,0.416,0.504,0.374,0.401,0.41,6
"No sabe",0.041,0.036,0.046,0.067,0.044,0.013,0.032,0.072,0.036,0.013,0.041,0.025,0.069,0.061,0.06,0.049,0.015,6
"Positiva",0.251,0.233,0.266,0.236,0.236,0.298,0.241,0.268,0.243,0.238,0.499,0.066,0.171,0.18,0.198,0.3,0.326,4
"Neutra",0.152,0.133,0.17,0.216,0.141,0.128,0.116,0.19,0.151,0.108,0.194,0.081,0.197,0.144,0.207,0.139,0.135,4
"Negativa",0.556,0.598,0.518,0.481,0.579,0.561,0.611,0.47,0.57,0.641,0.266,0.828,0.563,0.615,0.535,0.512,0.524,4
"No sabe",0.041,0.036,0.046,0.067,0.044,0.013,0.032,0.072,0.036,0.013,0.041,0.025,0.069,0.061,0.06,0.049,0.015,4
"Positiva",0.312,0.288,0.336,0.308,0.302,0.353,0.289,0.354,0.302,0.279,0.61,0.079,0.225,0.239,0.268,0.379,0.385,2
"Negativa",0.647,0.676,0.618,0.625,0.654,0.634,0.679,0.574,0.662,0.708,0.349,0.896,0.707,0.7,0.672,0.572,0.6,2
"No sabe",0.041,0.036,0.046,0.067,0.044,0.013,0.032,0.072,0.036,0.013,0.041,0.025,0.068,0.061,0.06,0.049,0.015,2
