"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","opciones"
"Muy buena",0.057,0.064,0.052,0.079,0.049,0.053,0.052,0.073,0.06,0.036,0.101,0.021,0.031,0.041,0.078,0.031,0.066,6
"Buena",0.105,0.109,0.101,0.078,0.103,0.141,0.102,0.114,0.1,0.103,0.192,0.043,0.063,0.091,0.108,0.125,0.114,6
"Ni buena ni mala",0.278,0.245,0.309,0.275,0.285,0.276,0.27,0.312,0.286,0.225,0.391,0.166,0.288,0.248,0.269,0.307,0.303,6
"Mala",0.162,0.159,0.165,0.13,0.163,0.154,0.215,0.134,0.162,0.194,0.136,0.182,0.2,0.16,0.159,0.156,0.165,6
"Muy mala",0.352,0.391,0.314,0.352,0.368,0.343,0.325,0.297,0.344,0.427,0.132,0.562,0.357,0.404,0.313,0.323,0.328,6
"No sabe",0.046,0.032,0.059,0.086,0.032,0.033,0.036,0.07,0.048,0.015,0.048,0.026,0.061,0.056,0.073,0.058,0.024,6
"Positiva",0.162,0.173,0.153,0.157,0.152,0.194,0.154,0.187,0.16,0.139,0.293,0.064,0.094,0.132,0.186,0.156,0.18,4
"Neutra",0.278,0.245,0.309,0.275,0.285,0.276,0.27,0.312,0.286,0.225,0.391,0.166,0.288,0.248,0.269,0.307,0.303,4
"Negativa",0.514,0.55,0.479,0.482,0.531,0.497,0.54,0.431,0.506,0.621,0.268,0.744,0.557,0.564,0.472,0.479,0.493,4
"No sabe",0.046,0.032,0.059,0.086,0.032,0.033,0.036,0.07,0.048,0.015,0.048,0.026,0.061,0.056,0.073,0.058,0.024,4
"Positiva",0.275,0.271,0.279,0.264,0.265,0.319,0.253,0.314,0.269,0.238,0.523,0.079,0.153,0.229,0.293,0.32,0.299,2
"Negativa",0.679,0.697,0.662,0.65,0.703,0.647,0.711,0.616,0.683,0.747,0.429,0.895,0.786,0.715,0.635,0.622,0.677,2
"No sabe",0.046,0.032,0.059,0.086,0.032,0.034,0.036,0.07,0.048,0.015,0.048,0.026,0.061,0.056,0.072,0.058,0.024,2
