"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","opciones"
"Muy buena",0.144,0.127,0.16,0.112,0.118,0.172,0.217,0.15,0.129,0.16,0.041,0.295,0.1,0.15,0.126,0.142,0.147,6
"Buena",0.135,0.144,0.127,0.096,0.113,0.155,0.221,0.096,0.137,0.179,0.046,0.265,0.135,0.151,0.13,0.102,0.13,6
"Ni buena ni mala",0.227,0.229,0.225,0.293,0.219,0.196,0.188,0.231,0.241,0.199,0.154,0.251,0.254,0.235,0.289,0.216,0.193,6
"Mala",0.194,0.184,0.204,0.192,0.201,0.207,0.162,0.234,0.191,0.153,0.27,0.093,0.264,0.17,0.226,0.165,0.204,6
"Muy mala",0.282,0.3,0.265,0.277,0.335,0.261,0.194,0.259,0.288,0.301,0.484,0.081,0.215,0.269,0.215,0.35,0.314,6
"No sabe",0.018,0.016,0.019,0.03,0.014,0.009,0.018,0.03,0.014,0.008,0.005,0.015,0.032,0.025,0.014,0.025,0.012,6
"Positiva",0.279,0.271,0.287,0.208,0.231,0.327,0.438,0.246,0.266,0.339,0.087,0.56,0.235,0.301,0.256,0.244,0.277,4
"Neutra",0.227,0.229,0.225,0.293,0.219,0.196,0.188,0.231,0.241,0.199,0.154,0.251,0.254,0.235,0.289,0.216,0.193,4
"Negativa",0.476,0.484,0.469,0.469,0.536,0.468,0.356,0.493,0.479,0.454,0.754,0.174,0.479,0.439,0.441,0.515,0.518,4
"No sabe",0.018,0.016,0.019,0.03,0.014,0.009,0.018,0.03,0.014,0.008,0.005,0.015,0.032,0.025,0.014,0.025,0.012,4
"Positiva",0.392,0.38,0.403,0.332,0.338,0.435,0.55,0.35,0.377,0.464,0.122,0.753,0.355,0.419,0.401,0.333,0.373,2
"Negativa",0.59,0.604,0.578,0.638,0.648,0.556,0.431,0.619,0.609,0.528,0.873,0.232,0.613,0.556,0.585,0.642,0.615,2
"No sabe",0.018,0.016,0.019,0.03,0.014,0.009,0.019,0.031,0.014,0.008,0.005,0.015,0.032,0.025,0.014,0.025,0.012,2
