"var","categoria","Mejor","Igual","Peor","No sabe"
"P08","Inflación",0.348,0.355,0.336,0.241
"P08","Desempleo",0.091,0.091,0.073,0.118
"P08","Corrupción",0.206,0.221,0.313,0.245
"P08","Inseguridad",0.085,0.133,0.11,0.108
"P08","Precio del dólar",0.071,0.03,0.03,0.047
"P08","Pobreza",0.088,0.072,0.056,0.111
"P08","Narcotráfico",0.028,0.009,0.023,0.037
"P08","Tarifas",0.007,0.015,0.011,0.01
"P08","Otro",0.051,0.058,0.034,0.049
"P08","No sabe",0.025,0.016,0.014,0.034
"P12","Sin deuda",0.337,0.391,0.248,0.294
"P12","Menos de 10%",0.168,0.176,0.129,0.162
"P12","Entre 10 y 20%",0.152,0.16,0.143,0.138
"P12","Entre 20 y 30%",0.127,0.075,0.097,0.094
"P12","Entre 30 y 40%",0.086,0.055,0.1,0.097
"P12","Mas del 40%",0.088,0.11,0.234,0.112
"P12","No sabe",0.042,0.033,0.049,0.103
"P13","Gran excedente habitual",0.022,0.007,0.008,0.01
"P13","Gran excedente excepcional",0.013,0.007,0.01,0.014
"P13","Pequeño excedente habitual",0.104,0.075,0.056,0.036
"P13","Pequeño excedente excepcional",0.086,0.068,0.049,0.034
"P13","Alcanza gastos familia",0.122,0.166,0.097,0.126
"P13","No alcanza gastos familia",0.185,0.125,0.166,0.153
"P13","Solo NBFamiliares",0.204,0.264,0.236,0.248
"P13","No alcanza NBFamiliares",0.252,0.274,0.363,0.328
"P13","No sabe",0.012,0.014,0.015,0.051
"P14","Muy buena",0.104,0.05,0.05,0.023
"P14","Buena",0.212,0.228,0.086,0.147
"P14","Ni buena ni mala",0.447,0.464,0.371,0.434
"P14","Mala",0.156,0.196,0.31,0.268
"P14","Muy mala",0.044,0.053,0.162,0.092
"P14","No sabe",0.037,0.009,0.021,0.036
"P15","Mejor",0.319,0.122,0.049,0.118
"P15","Igual",0.347,0.472,0.086,0.274
"P15","Peor",0.265,0.368,0.826,0.506
"P15","No sabe",0.069,0.038,0.039,0.102
"P17","Muy buena",0.09,0.021,0.106,0.01
"P17","Buena",0.131,0.171,0.017,0.017
"P17","Ni buena ni mala",0.343,0.232,0.045,0.188
"P17","Mala",0.234,0.318,0.242,0.397
"P17","Muy mala",0.177,0.232,0.584,0.313
"P17","No sabe",0.025,0.026,0.006,0.075
"P18","Mejor",0.274,0.076,0.031,0.054
"P18","Igual",0.264,0.336,0.058,0.195
"P18","Peor",0.403,0.527,0.862,0.609
"P18","No sabe",0.059,0.061,0.049,0.142
"P19","Mejor",0.431,0.08,0.029,0.049
"P19","Igual",0.245,0.44,0.077,0.152
"P19","Peor",0.226,0.393,0.855,0.317
"P19","No sabe",0.098,0.087,0.039,0.482
"P20","Muy buena",0.127,0.05,0.096,0.054
"P20","Buena",0.236,0.136,0.027,0.108
"P20","Ni buena ni mala",0.275,0.304,0.102,0.246
"P20","Mala",0.175,0.233,0.172,0.243
"P20","Muy mala",0.154,0.264,0.585,0.277
"P20","No sabe",0.033,0.013,0.018,0.072
"P22","Muy buena",0.124,0.028,0.029,0.042
"P22","Buena",0.185,0.125,0.019,0.064
"P22","Ni buena ni mala",0.269,0.286,0.099,0.225
