"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","opciones"
"Muy buena",0.219,0.219,0.219,0.138,0.187,0.284,0.325,0.185,0.22,0.257,0.06,0.433,0.206,0.242,0.199,0.2,0.212,6
"Buena",0.152,0.172,0.132,0.127,0.151,0.163,0.176,0.135,0.141,0.186,0.061,0.247,0.159,0.157,0.156,0.106,0.152,6
"Ni buena ni mala",0.189,0.189,0.188,0.268,0.173,0.146,0.167,0.211,0.202,0.144,0.166,0.177,0.164,0.186,0.277,0.173,0.153,6
"Mala",0.131,0.114,0.148,0.126,0.146,0.121,0.117,0.154,0.124,0.116,0.199,0.054,0.195,0.112,0.157,0.149,0.133,6
"Muy mala",0.271,0.275,0.267,0.271,0.313,0.26,0.188,0.254,0.277,0.281,0.479,0.076,0.215,0.256,0.164,0.337,0.323,6
"No sabe",0.038,0.031,0.046,0.07,0.03,0.026,0.027,0.061,0.036,0.016,0.035,0.013,0.061,0.047,0.047,0.035,0.027,6
"Positiva",0.371,0.391,0.351,0.265,0.338,0.447,0.501,0.32,0.361,0.443,0.121,0.68,0.365,0.399,0.355,0.306,0.364,4
"Neutra",0.189,0.189,0.188,0.268,0.173,0.146,0.167,0.211,0.202,0.144,0.166,0.177,0.164,0.186,0.277,0.173,0.153,4
"Negativa",0.402,0.389,0.415,0.397,0.459,0.381,0.305,0.408,0.401,0.397,0.678,0.13,0.41,0.368,0.321,0.486,0.456,4
"No sabe",0.038,0.031,0.046,0.07,0.03,0.026,0.027,0.061,0.036,0.016,0.035,0.013,0.061,0.047,0.047,0.035,0.027,4
"Positiva",0.476,0.498,0.454,0.396,0.428,0.537,0.619,0.414,0.484,0.534,0.167,0.825,0.467,0.504,0.484,0.444,0.452,2
"Negativa",0.486,0.471,0.501,0.534,0.542,0.436,0.354,0.525,0.48,0.45,0.798,0.162,0.472,0.449,0.469,0.521,0.52,2
"No sabe",0.038,0.031,0.045,0.07,0.03,0.027,0.027,0.061,0.036,0.016,0.035,0.013,0.061,0.047,0.047,0.035,0.028,2
