"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","opciones"
"Muy buena",0.028,0.03,0.026,0.041,0.027,0.018,0.024,0.046,0.019,0.021,0.041,0.013,0.05,0.023,0.034,0.006,0.032,6
"Buena",0.073,0.072,0.073,0.069,0.066,0.083,0.08,0.072,0.073,0.074,0.135,0.022,0.05,0.063,0.061,0.1,0.082,6
"Ni buena ni mala",0.161,0.164,0.159,0.175,0.157,0.163,0.148,0.188,0.154,0.14,0.279,0.054,0.116,0.139,0.189,0.179,0.165,6
"Mala",0.216,0.197,0.233,0.217,0.229,0.181,0.229,0.243,0.218,0.178,0.254,0.175,0.228,0.201,0.252,0.218,0.211,6
"Muy mala",0.492,0.519,0.468,0.447,0.494,0.54,0.495,0.418,0.503,0.565,0.255,0.723,0.551,0.543,0.426,0.47,0.484,6
"No sabe",0.03,0.018,0.041,0.051,0.027,0.015,0.024,0.033,0.033,0.022,0.036,0.013,0.005,0.031,0.038,0.027,0.026,6
"Positiva",0.101,0.102,0.099,0.11,0.093,0.101,0.104,0.118,0.092,0.095,0.176,0.035,0.1,0.086,0.095,0.106,0.114,4
"Neutra",0.161,0.164,0.159,0.175,0.157,0.163,0.148,0.188,0.154,0.14,0.279,0.054,0.116,0.139,0.189,0.179,0.165,4
"Negativa",0.708,0.716,0.701,0.664,0.723,0.721,0.724,0.661,0.721,0.743,0.509,0.898,0.779,0.744,0.678,0.688,0.695,4
"No sabe",0.03,0.018,0.041,0.051,0.027,0.015,0.024,0.033,0.033,0.022,0.036,0.013,0.005,0.031,0.038,0.027,0.026,4
