"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires"
"Frente de Todos y el peronismo",0.235,0.229,0.24,0.21,0.253,0.257,0.2,0.25,0.22,0.241,0.513,0.037,0.1,0.192,0.213,0.289,0.273
"Cambiemos",0.238,0.215,0.26,0.171,0.197,0.279,0.387,0.195,0.225,0.311,0.088,0.469,0.195,0.261,0.251,0.202,0.219
"Liberales",0.206,0.288,0.129,0.268,0.225,0.168,0.116,0.198,0.215,0.201,0.12,0.247,0.212,0.225,0.204,0.189,0.193
"Izquierda",0.063,0.064,0.063,0.077,0.065,0.052,0.055,0.07,0.06,0.06,0.055,0.038,0.11,0.057,0.069,0.045,0.069
"No sabe",0.258,0.204,0.308,0.274,0.26,0.244,0.242,0.287,0.28,0.187,0.224,0.209,0.383,0.265,0.263,0.275,0.246
