"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmann","Rioseco","Eguía"
"José Rioseco",0.251,0.289,0.217,0.261,0.256,0.258,0.198,0.191,0.279,0.305,0.192,0.529,0.616,0.093
"Rubén Ojito García",0.274,0.324,0.23,0.252,0.266,0.351,0.227,0.313,0.253,0.248,0.568,0.419,0.079,0.429
"Otros candidatos",0.141,0.148,0.135,0.123,0.177,0.118,0.106,0.158,0.141,0.105,0.05,0.026,0.194,0.349
"En blanco",0.097,0.062,0.128,0.13,0.074,0.082,0.119,0.086,0.119,0.062,0.06,0.014,0.085,0.129
"No sabe",0.237,0.177,0.29,0.234,0.227,0.191,0.35,0.252,0.208,0.28,0.13,0.012,0.026,0
