"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmann","Rioseco","Eguía"
"José Rioseco con el apoyo de Ramón Rioseco",0.315,0.349,0.286,0.195,0.36,0.376,0.348,0.305,0.304,0.367,0.27,0.445,0.672,0.097
"Rubén Ojito García con el apoyo de Rolo Figueroa",0.282,0.359,0.212,0.271,0.275,0.337,0.237,0.264,0.272,0.345,0.487,0.509,0.056,0.777
"Otros candidatos",0.118,0.122,0.114,0.172,0.11,0.058,0.12,0.104,0.137,0.098,0.073,0.018,0.132,0.126
"En blanco",0.091,0.05,0.127,0.092,0.101,0.075,0.08,0.131,0.072,0.053,0.041,0.015,0.101,0
"No sabe",0.194,0.12,0.261,0.27,0.154,0.154,0.215,0.196,0.215,0.137,0.129,0.013,0.039,0
