"var","categoria","José Rioseco","Rubén Ojito García","Otros candidatos","En blanco","No sabe"
"P08","José Rioseco con el apoyo de Ramón Rioseco",0.871,0.164,0.066,0,0.044
"P08","Rubén Ojito García con el apoyo de Rolo Figueroa",0.085,0.744,0.081,0.052,0.097
"P08","Otros candidatos",0.044,0.04,0.431,0.213,0.105
"P08","En blanco",0,0,0.067,0.735,0.069
"P08","No sabe",0,0.052,0.355,0,0.685
"P10","Lo votaría",0.163,0.711,0.013,0.21,0.1
"P10","Puede que lo vote",0.173,0.154,0.119,0,0.119
"P10","Nunca lo votaría",0.582,0.036,0.424,0.432,0.329
"P10","No sabe",0.082,0.099,0.444,0.358,0.452
"P11","Lo votaría",0.752,0.133,0.17,0,0.088
"P11","Puede que lo vote",0.159,0.192,0.085,0.174,0.133
"P11","Nunca lo votaría",0.072,0.605,0.532,0.448,0.366
"P11","No sabe",0.017,0.07,0.213,0.378,0.413
"P12","Si",0.496,0.406,0.106,0.39,0.184
"P12","No",0.504,0.594,0.894,0.61,0.816
