"var","categoria","Sí, absolutamente","Sí, en cierta medida","No, en absoluto"
"P05","Tiene Decidido que va a ir a votar.",0.855,0.848,0.846
"P05","Tiene dudas sobre si va a ir a  votar",0.106,0.128,0.13
"P05","Tiene Decidido que no va a ir a votar",0.039,0.024,0.024
"P06","Mucho",0.528,0.49,0.471
"P06","Bastante",0.266,0.324,0.378
"P06","Poco",0.147,0.079,0.092
"P06","Nada",0.043,0.079,0.042
"P06","No sabe",0.016,0.028,0.017
"P07","Siempre",0.272,0.226,0.327
"P07","Casi siempre",0.312,0.383,0.285
"P07","Casi nunca",0.31,0.202,0.258
"P07","Nunca, pero esta es una excepción",0.106,0.189,0.13
"P11","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Pablo Todero a Diputado Nacional por Unión por la Patria",0.481,0.269,0.119
"P11","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.122,0.268,0.258
"P11","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente por la Libertad Avanza y Nadia Marquez a Diputada Nacional por Arriba Neuquén",0.224,0.319,0.529
"P11","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.013,0.014,0.001
"P11","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.072,0.111,0.022
"P11","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.016,0.005,0.044
"P11","En blanco",0.023,0,0.011
"P11","No sabe",0.049,0.014,0.016
"P14","Totalmente seguro.",0.769,0.701,0.739
"P14","Bastante seguro",0.081,0.155,0.102
"P14","Algo seguro",0.075,0.113,0.092
"P14","Para nada seguro",0.075,0.031,0.067
"P18","Si",0.457,0.408,0.526
"P18","No",0.543,0.592,0.474
"P19","Pablo Todero a Diputado Nacional por Unión por la Patria",0.269,0.096,0.014
"P19","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.126,0.185,0.187
"P19","Nadia Márquez a Diputada Nacional por Arriba Neuquén",0.126,0.16,0.282
"P19","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.216,0.208,0.291
"P19","Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.123,0.156,0.009
"P19","En blanco",0.052,0.063,0.134
"P19","No sabe",0.088,0.132,0.083
"P22","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.342,0.398,0.639
"P22","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.144,0.252,0.157
"P22","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.297,0.207,0.13
"P22","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.076,0.055,0.015
"P22","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.056,0.065,0.001
"P22","No sabe",0.085,0.023,0.058
"P23","No estaba enterado del tema",0.224,0.09,0.13
"P23","Un tema de la vida privada de él",0.206,0.205,0.075
"P23","Un hecho vergonzoso de exclusiva responsabilidad de él",0.365,0.308,0.16
"P23","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.058,0.096,0.175
"P23","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.096,0.284,0.444
"P23","No sabe",0.051,0.017,0.016
"P24","Ha aumentado significativamente",0.184,0.065,0.131
"P24","Ha aumentado ligeramente",0.208,0.276,0.13
"P24","Se mantiene igual",0.293,0.346,0.217
"P24","Ha disminuido ligeramente",0.183,0.115,0.134
"P24","Ha disminuido significativamente",0.132,0.198,0.388
"P25","No, ninguna dificultad",0.41,0.405,0.347
"P25","Alguna dificultad ocasional",0.296,0.424,0.196
"P25","Sí, dificultades frecuentes",0.294,0.171,0.457
"P27","Reducir la inflación",0.555,0.373,0.361
"P27","Implementar reformas fiscales",0.087,0.176,0.084
"P27","Establecer políticas de control de precios",0.201,0.097,0.059
"P27","Reducir el gasto público",0.099,0.288,0.462
"P27","Estimular la inversión extranjera",0.041,0.065,0.032
"P27","Aumentar los subsidios a los servicios públicos",0.017,0.001,0.002
"P28","Muy positiva",0.38,0.131,0.149
"P28","Positiva",0.215,0.316,0.123
"P28","Neutral",0.215,0.278,0.387
"P28","Algo negativa",0.029,0.098,0.108
"P28","Negativa",0.068,0.114,0.146
"P28","No sabe",0.093,0.063,0.087
"P29","Muy positiva",0.568,0.228,0.129
"P29","Positiva",0.179,0.341,0.146
"P29","Neutral",0.165,0.203,0.264
"P29","Algo negativa",0.024,0.104,0.109
"P29","Negativa",0.035,0.106,0.309
"P29","No sabe",0.029,0.018,0.043
"P30","Muy positiva",0.438,0.142,0.071
"P30","Positiva",0.264,0.262,0.09
"P30","Neutral",0.156,0.297,0.307
"P30","Algo negativa",0.052,0.134,0.108
"P30","Negativa",0.048,0.117,0.308
"P30","No sabe",0.042,0.048,0.116
"P31","Muy positiva",0.663,0.377,0.277
"P31","Positiva",0.156,0.227,0.112
"P31","Neutral",0.071,0.221,0.188
"P31","Algo negativa",0.069,0.093,0.142
"P31","Negativa",0.017,0.081,0.25
"P31","No sabe",0.024,0.001,0.031
"P32","Muy positiva",0.587,0.382,0.267
"P32","Positiva",0.197,0.266,0.128
"P32","Neutral",0.095,0.177,0.224
"P32","Algo negativa",0.023,0.092,0.145
"P32","Negativa",0.034,0.038,0.203
"P32","No sabe",0.064,0.045,0.033
"P33","Muy buena",0.247,0.155,0.058
"P33","Buena",0.294,0.189,0.176
"P33","Ni buena ni mala",0.323,0.497,0.362
"P33","Mala",0.091,0.069,0.181
"P33","Muy mala",0.025,0.073,0.196
"P33","No sabe",0.02,0.017,0.027
"P34","Muy buena",0.176,0.062,0.073
"P34","Buena",0.307,0.18,0.127
"P34","Ni buena ni mala",0.274,0.414,0.269
"P34","Mala",0.149,0.196,0.177
"P34","Muy mala",0.081,0.133,0.338
"P34","No sabe",0.013,0.015,0.016
"P35","Muy buena",0.082,0.055,0.088
"P35","Buena",0.141,0.146,0.091
"P35","Ni buena ni mala",0.314,0.294,0.214
"P35","Mala",0.265,0.281,0.232
"P35","Muy mala",0.188,0.213,0.363
"P35","No sabe",0.01,0.011,0.012
"P36","Muy buena",0.123,0.131,0.05
"P36","Buena",0.165,0.208,0.179
"P36","Ni buena ni mala",0.334,0.33,0.333
"P36","Mala",0.172,0.203,0.186
"P36","Muy mala",0.182,0.106,0.213
"P36","No sabe",0.024,0.022,0.039
"P37","Muy buena",0.06,0.05,0.026
"P37","Buena",0.088,0.071,0.033
"P37","Ni buena ni mala",0.336,0.341,0.246
"P37","Mala",0.287,0.247,0.166
"P37","Muy mala",0.185,0.255,0.473
"P37","No sabe",0.044,0.036,0.056
"P38","Muy buena",0.114,0.029,0.017
"P38","Buena",0.083,0.074,0.014
"P38","Ni buena ni mala",0.346,0.439,0.26
"P38","Mala",0.212,0.192,0.225
"P38","Muy mala",0.18,0.231,0.41
"P38","No sabe",0.065,0.035,0.074
"P39","Si",0.349,0.351,0.312
"P39","No",0.651,0.649,0.688
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.485,0.27,0.119
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.122,0.272,0.257
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.228,0.319,0.531
"PRESIDENTE","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.072,0.111,0.022
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos nuestro País",0.017,0.006,0.044
"PRESIDENTE","En blanco",0.026,0.002,0.011
"PRESIDENTE","No sabe",0.05,0.02,0.016
"DIPUTADOS","Pablo Todero a Diputado Nacional por Unión por la Patria",0.38,0.214,0.047
"DIPUTADOS","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.13,0.214,0.225
"DIPUTADOS","Nadia Márquez a Diputada Nacional por Arriba Neuquén",0.179,0.272,0.413
"DIPUTADOS","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.107,0.106,0.159
"DIPUTADOS","Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.111,0.114,0.009
"DIPUTADOS","En blanco",0.033,0.025,0.105
"DIPUTADOS","No sabe",0.06,0.055,0.042
"CORTA_DIPUTADOS","Si",0.309,0.285,0.342
"CORTA_DIPUTADOS","No",0.691,0.715,0.658
"P11_imputada","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Pablo Todero a Diputado Nacional por Unión por la Patria",0.49,0.284,0.131
"P11_imputada","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.134,0.268,0.261
"P11_imputada","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente por la Libertad Avanza y Nadia Marquez a Diputada Nacional por Arriba Neuquén",0.235,0.319,0.53
"P11_imputada","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.013,0.014,0.001
"P11_imputada","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.087,0.11,0.022
"P11_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.016,0.005,0.044
"P11_imputada","En blanco",0.025,0,0.011
"P19_imputada","Pablo Todero a Diputado Nacional por Unión por la Patria",0.314,0.1,0.018
"P19_imputada","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.134,0.234,0.192
"P19_imputada","Nadia Márquez a Diputada Nacional por Arriba Neuquén",0.126,0.208,0.345
"P19_imputada","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.24,0.225,0.297
"P19_imputada","Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.128,0.17,0.009
"P19_imputada","En blanco",0.058,0.063,0.139
