"var","categoria","No, ninguna dificultad","Alguna dificultad ocasional","Sí, dificultades frecuentes"
"P05","Tiene Decidido que va a ir a votar.",0.883,0.88,0.775
"P05","Tiene dudas sobre si va a ir a  votar",0.096,0.104,0.163
"P05","Tiene Decidido que no va a ir a votar",0.021,0.016,0.062
"P06","Mucho",0.535,0.486,0.481
"P06","Bastante",0.263,0.38,0.288
"P06","Poco",0.108,0.118,0.13
"P06","Nada",0.068,0.01,0.077
"P06","No sabe",0.026,0.006,0.024
"P07","Siempre",0.303,0.236,0.26
"P07","Casi siempre",0.315,0.362,0.313
"P07","Casi nunca",0.178,0.344,0.31
"P07","Nunca, pero esta es una excepción",0.204,0.058,0.117
"P11","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Pablo Todero a Diputado Nacional por Unión por la Patria",0.508,0.332,0.152
"P11","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.164,0.24,0.191
"P11","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente por la Libertad Avanza y Nadia Marquez a Diputada Nacional por Arriba Neuquén",0.218,0.304,0.426
"P11","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.016,0.005,0.01
"P11","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.036,0.067,0.126
"P11","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.01,0.013,0.036
"P11","En blanco",0.005,0.031,0.012
"P11","No sabe",0.043,0.008,0.047
"P14","Totalmente seguro.",0.825,0.699,0.687
"P14","Bastante seguro",0.082,0.15,0.084
"P14","Algo seguro",0.061,0.099,0.112
"P14","Para nada seguro",0.032,0.052,0.117
"P18","Si",0.446,0.495,0.43
"P18","No",0.554,0.505,0.57
"P19","Pablo Todero a Diputado Nacional por Unión por la Patria",0.194,0.182,0.13
"P19","Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.134,0.148,0.193
"P19","Nadia Márquez a Diputada Nacional por Arriba Neuquén",0.1,0.235,0.184
"P19","Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.35,0.153,0.158
"P19","Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.085,0.102,0.135
"P19","En blanco",0.066,0.05,0.11
"P19","No sabe",0.071,0.13,0.09
"P22","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.358,0.406,0.513
"P22","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.174,0.214,0.132
"P22","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.319,0.199,0.171
"P22","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.055,0.072,0.046
"P22","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.045,0.044,0.052
"P22","No sabe",0.049,0.065,0.086
"P23","No estaba enterado del tema",0.195,0.202,0.117
"P23","Un tema de la vida privada de él",0.243,0.171,0.096
"P23","Un hecho vergonzoso de exclusiva responsabilidad de él",0.367,0.305,0.222
"P23","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.067,0.084,0.143
"P23","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.103,0.191,0.389
"P23","No sabe",0.025,0.047,0.033
"P24","Ha aumentado significativamente",0.297,0.065,0.026
"P24","Ha aumentado ligeramente",0.269,0.287,0.047
"P24","Se mantiene igual",0.257,0.37,0.258
"P24","Ha disminuido ligeramente",0.071,0.164,0.251
"P24","Ha disminuido significativamente",0.106,0.114,0.418
"P26","Sí, absolutamente",0.546,0.501,0.531
"P26","Sí, en cierta medida",0.283,0.376,0.162
"P26","No, en absoluto",0.171,0.123,0.307
"P27","Reducir la inflación",0.487,0.507,0.396
"P27","Implementar reformas fiscales",0.098,0.132,0.106
"P27","Establecer políticas de control de precios",0.189,0.152,0.076
"P27","Reducir el gasto público",0.194,0.147,0.343
"P27","Estimular la inversión extranjera",0.019,0.054,0.072
"P27","Aumentar los subsidios a los servicios públicos",0.013,0.008,0.007
"P28","Muy positiva",0.407,0.138,0.198
"P28","Positiva",0.159,0.372,0.167
"P28","Neutral",0.242,0.293,0.277
"P28","Algo negativa",0.044,0.07,0.085
"P28","Negativa",0.084,0.03,0.177
"P28","No sabe",0.064,0.097,0.096
"P29","Muy positiva",0.529,0.344,0.237
"P29","Positiva",0.172,0.322,0.174
"P29","Neutral",0.122,0.167,0.32
"P29","Algo negativa",0.041,0.093,0.063
"P29","Negativa",0.107,0.062,0.161
"P29","No sabe",0.029,0.012,0.045
"P30","Muy positiva",0.409,0.232,0.158
"P30","Positiva",0.228,0.32,0.131
"P30","Neutral",0.128,0.259,0.326
"P30","Algo negativa",0.071,0.087,0.105
"P30","Negativa",0.114,0.065,0.186
"P30","No sabe",0.05,0.037,0.094
"P31","Muy positiva",0.67,0.449,0.335
"P31","Positiva",0.102,0.244,0.17
"P31","Neutral",0.055,0.164,0.218
"P31","Algo negativa",0.052,0.089,0.147
"P31","Negativa",0.108,0.032,0.104
"P31","No sabe",0.013,0.022,0.026
"P32","Muy positiva",0.644,0.417,0.271
"P32","Positiva",0.119,0.296,0.212
"P32","Neutral",0.094,0.134,0.224
"P32","Algo negativa",0.02,0.081,0.116
"P32","Negativa",0.072,0.035,0.106
"P32","No sabe",0.051,0.037,0.071
"P33","Muy buena",0.177,0.199,0.174
"P33","Buena",0.245,0.273,0.201
"P33","Ni buena ni mala",0.386,0.372,0.373
"P33","Mala",0.076,0.085,0.163
"P33","Muy mala",0.094,0.058,0.063
