"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Figueroa","Koopmam","Rioseco","Cervi","Eguía","Jure","Neuquén","Otra localidad"
"Si",0.323,0.309,0.337,0.263,0.368,0.336,0.275,0.315,0.345,0.294,0.343,0.383,0.194,0.242,0.347,0.377,0.382,0.21,0.048,0.357,0.082,0.362,0.289
"No",0.677,0.691,0.663,0.737,0.632,0.664,0.725,0.685,0.655,0.706,0.657,0.617,0.806,0.758,0.653,0.623,0.618,0.79,0.952,0.643,0.918,0.638,0.711
