"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Figueroa","Koopmam","Rioseco","Cervi","Eguía","Jure","Neuquén","Otra localidad"
"Pablo Todero a Diputado Nacional por Unión por la Patria",0.211,0.209,0.212,0.231,0.216,0.189,0.197,0.274,0.217,0.153,0.407,0.237,0.014,0,0.13,0.178,0.228,0.394,0.051,0.042,0.453,0.221,0.201
"Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.165,0.151,0.179,0.048,0.161,0.197,0.318,0.139,0.15,0.207,0.024,0.142,0.563,0.153,0.123,0.153,0.111,0.1,0.837,0.193,0.145,0.18,0.152
"Nadia Márquez a Diputada Nacional por Arriba Neuquén",0.199,0.201,0.198,0.27,0.173,0.249,0.079,0.15,0.247,0.171,0.164,0.129,0.151,0.436,0.258,0.212,0.141,0.141,0.058,0.15,0.047,0.224,0.178
"Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.246,0.279,0.213,0.278,0.266,0.192,0.226,0.319,0.246,0.192,0.271,0.341,0.098,0.113,0.302,0.293,0.402,0.187,0,0.211,0,0.224,0.266
"Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.105,0.094,0.116,0.081,0.115,0.108,0.102,0.076,0.065,0.182,0.091,0.127,0.059,0.246,0.062,0.134,0.062,0.135,0.025,0.112,0.355,0.072,0.134
"En blanco",0.074,0.066,0.082,0.092,0.069,0.065,0.078,0.042,0.075,0.095,0.043,0.024,0.115,0.052,0.125,0.03,0.056,0.043,0.029,0.292,0,0.079,0.069
