"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Figueroa","Koopmam","Rioseco","Cervi","Eguía","Jure","Neuquén","Otra localidad"
"Muy buena",0.183,0.208,0.155,0.137,0.185,0.226,0.171,0.225,0.177,0.159,0.213,0.186,0.161,0.269,0.129,0.325,0.084,0.064,0.052,0,0,0.186,0.181
"Buena",0.241,0.249,0.232,0.236,0.255,0.209,0.259,0.273,0.258,0.193,0.312,0.332,0.09,0.078,0.272,0.324,0.256,0.247,0.043,0.127,0.072,0.217,0.263
"Ni buena ni mala",0.378,0.373,0.383,0.336,0.357,0.437,0.41,0.371,0.364,0.402,0.37,0.393,0.464,0.352,0.363,0.303,0.504,0.427,0.476,0.454,0.537,0.399,0.357
"Mala",0.104,0.088,0.122,0.116,0.107,0.092,0.094,0.059,0.099,0.145,0.058,0.051,0.17,0.283,0.103,0.026,0.072,0.172,0.173,0.271,0.341,0.121,0.088
"Muy mala",0.073,0.057,0.092,0.141,0.085,0.01,0.043,0.072,0.073,0.076,0.019,0.033,0.087,0.009,0.126,0.009,0.044,0.059,0.228,0.131,0.05,0.051,0.095
"No sabe",0.021,0.025,0.016,0.034,0.011,0.026,0.023,0,0.029,0.025,0.028,0.005,0.028,0.009,0.007,0.013,0.04,0.031,0.028,0.017,0,0.026,0.016
