"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Figueroa","Koopmam","Rioseco","Cervi","Eguía","Jure","Neuquén","Otra localidad"
"Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Pablo Todero a Diputado Nacional por Unión por la Patria",0.359,0.312,0.407,0.3,0.4,0.377,0.318,0.294,0.386,0.388,0.818,0.512,0.043,0.045,0.056,0.369,0.417,0.696,0.036,0.094,0.228,0.35,0.367
"Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Francisco Sánchez a Diputado Nacional por Juntos por el Cambio",0.187,0.169,0.205,0.117,0.148,0.297,0.32,0.171,0.177,0.222,0.09,0.15,0.72,0.295,0.017,0.165,0.223,0.096,0.567,0.208,0.15,0.181,0.192
"Javier Milei a Presidente, Victoria Villarruel a Vicepresidente por la Libertad Avanza y Nadia Marquez a Diputada Nacional por Arriba Neuquén",0.302,0.346,0.257,0.405,0.282,0.233,0.237,0.285,0.33,0.274,0.06,0.25,0.183,0.228,0.725,0.367,0.285,0.122,0.214,0.459,0.011,0.296,0.308
"Sandro Badilla a diputado nacional por el movimiento popular neuquino",0.02,0.025,0.015,0.019,0.021,0.018,0.023,0.028,0.015,0.021,0.013,0.003,0.048,0.022,0.007,0.008,0.038,0.004,0.047,0.03,0.152,0.025,0.016
"Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Patricia Jure a Diputada Nacional por el Frente de Izquierda",0.091,0.091,0.091,0.107,0.115,0.039,0.055,0.144,0.066,0.073,0.004,0.077,0.005,0.344,0.133,0.057,0.026,0.078,0.136,0.141,0.301,0.078,0.102
"Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.021,0.032,0.011,0.03,0.01,0.031,0.026,0.026,0.024,0.01,0.007,0.008,0.001,0.016,0.048,0.025,0.006,0.004,0,0.045,0.158,0.031,0.013
"En blanco",0.02,0.025,0.014,0.022,0.024,0.005,0.021,0.052,0.002,0.012,0.008,0,0,0.05,0.014,0.009,0.005,0,0,0.023,0,0.039,0.002
